match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
xlHCZ7lR,rd_congo,09.06.2026 16:00,Football / World / Friendly International,D.R. Congo,Chile,1,2,,0,46%,0,0,8,3,25%(2/8),28,0,0,0.20,0.20,8,10,0,0.00,0,6,60%(12/20),1,84%(160/190),76%(38/50),1,3,1,3,67%(4/6),8,4,7,0.05,0.00,0,0,54%,0,2,9,4,14%(1/7),20,0,0,0.36,0.30,8,6,1,-1.63,,0,2,31%(8/26),0,83%(204/247),64%(39/61),4,1,3,2,40%(2/5),9,6,11,0.41,0.37,1,0,54%,0,0,9,1,50%(3/6),26,0,0,0.29,0.00,10,8,1,0.05,0,6,53%(17/32),0,85%(191/225),75%(38/51),0,0,0,0,58%(7/12),9,0,8,0.00,0.05,1,0,46%,0,0,13,1,33%(2/6),23,0,0,0.20,0.29,6,8,2,-0.59,,0,5,43%(10/23),3,82%(172/211),47%(20/43),1,3,3,5,63%(5/8),10,6,5,0.37,0.41,1
K0OFPazG,rd_congo,03.06.2026 18:00,Football / World / Friendly International,D.R. Congo,Denmark,0,0,,0,40%,1,2,9,1,11%(1/9),17,0,0,0.09,0.58,6,4,2,0.10,0,7,37%(7/19),0,87%(198/228),72%(34/47),1,1,1,3,50%(1/2),5,4,3,0.45,0.10,0,1,47%,0,0,10,3,13%(1/8),15,0,0,0.46,0.25,3,3,1,0.62,,0,3,42%(14/33),0,81%(176/217),71%(39/55),3,1,3,1,67%(4/6),9,4,10,0.60,0.62,,2,60%,1,2,6,2,0%(0/8),15,0,0,0.75,0.41,4,6,1,0.45,2,6,45%(9/20),1,91%(324/356),76%(71/93),2,2,2,4,71%(5/7),9,6,13,0.10,0.45,1,1,53%,0,1,9,2,11%(1/9),11,0,0,0.66,0.40,3,3,3,0.60,,1,6,41%(7/17),0,87%(212/244),85%(83/98),3,4,1,3,80%(4/5),8,6,9,0.62,0.60,
nHRhJvF8,rd_congo,31.03.2026 21:00,Football / World / World Championship - Qualification - Promotion - Final,D.R. Congo,Jamaica,1,0,,0,49%,1,1,9,0,50%(1/2),26,0,1,0.19,0.21,6,5,1,0.01,1,5,44%(16/36),2,80%(175/220),58%(26/45),4,2,1,0,55%(6/11),14,4,16,0.02,0.01,0,0,52%,0,4,11,3,29%(2/7),21,0,0,0.18,0.25,3,4,0,0.00,,0,1,38%(11/29),4,77%(150/194),61%(51/83),4,6,1,7,75%(3/4),8,11,11,0.05,0.00,0,0,51%,0,1,8,2,20%(1/5),29,0,0,0.19,0.13,5,6,1,0.02,1,5,32%(11/34),0,80%(178/223),56%(22/39),2,1,1,1,73%(8/11),12,3,5,0.01,0.02,1,0,48%,0,0,10,4,17%(2/12),16,0,0,0.24,0.08,4,3,1,0.05,,0,4,25%(8/32),0,76%(133/175),47%(18/38),1,1,0,0,86%(6/7),12,1,6,0.00,0.05,1
tQTPPCUH,rd_congo,25.03.2026 21:00,Football / World / Friendly International,D.R. Congo,Bermuda,2,0,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5pTYVlJ,rd_congo,06.01.2026 16:00,Football / Africa / Africa Cup of Nations - Play Offs - 1/8-finals,Algeria,D.R. Congo,1,0,,1,59%,0,0,8,2,7%(1/14),23,0,0,0.23,0.04,7,10,1,0.10,0,1,45%(10/22),0,86%(189/220),67%(43/64),0,1,0,1,75%(6/8),6,1,10,0.00,0.10,,0,58%,0,1,11,1,25%(2/8),19,0,0,0.27,0.39,3,8,1,0.07,,0,2,42%(8/19),0,89%(188/211),62%(28/45),5,3,3,2,50%(3/6),10,7,8,0.31,0.07,,0,41%,0,0,21,2,33%(2/6),20,0,0,0.14,0.11,10,7,0,0.00,0,3,59%(13/22),1,85%(135/158),68%(26/38),3,2,1,0,43%(3/7),10,3,4,0.10,0.00,,0,42%,0,1,10,4,11%(1/9),16,0,0,0.11,0.04,8,3,3,0.31,,0,2,70%(14/20),0,86%(125/145),71%(22/31),1,0,1,1,75%(3/4),9,2,3,0.07,0.31,
WYRH0767,rd_congo,30.12.2025 19:00,Football / Africa / Africa Cup of Nations - Round 3,Botswana,D.R. Congo,0,3,,0,48%,0,0,11,0,0%(0/4),18,0,0,0.02,0.07,3,7,1,0.50,0,8,42%(13/31),2,87%(221/254),43%(10/23),0,1,0,1,57%(4/7),3,1,1,0.00,2.50,,0,42%,0,1,21,0,20%(1/5),24,0,0,0.17,0.20,3,9,2,0.20,0,0,3,72%(23/32),2,86%(168/196),69%(20/29),2,3,1,3,33%(1/3),3,5,6,0.10,1.20,,1,52%,3,0,6,0,15%(2/13),17,0,1,1.06,2.29,7,3,0,0.00,0,3,82%(9/11),1,89%(237/267),81%(88/109),8,11,3,6,50%(3/6),7,14,16,2.50,0.00,,1,58%,2,3,6,3,22%(4/18),19,0,0,1.64,1.73,9,3,1,0.10,1,0,5,67%(10/15),1,92%(245/267),88%(98/112),10,8,3,4,25%(1/4),4,14,31,1.20,0.10,
KYWyABqL,rd_congo,27.12.2025 15:00,Football / Africa / Africa Cup of Nations - Round 2,Senegal,D.R. Congo,1,1,,0,65%,1,2,5,3,17%(2/12),22,0,0,0.41,1.27,10,6,0,0.00,0,4,67%(14/21),0,89%(231/260),82%(79/96),5,6,1,4,100%(5/5),9,9,14,0.05,0.00,1,1,63%,2,0,9,2,0%(0/9),24,1,0,0.31,0.74,8,6,2,0.50,,0,3,58%(15/26),2,85%(208/246),65%(39/60),2,0,2,0,56%(5/9),12,2,13,1.48,1.50,,0,35%,0,0,15,0,0%(0/6),22,0,0,0.03,0.00,6,10,1,0.05,0,5,28%(7/25),1,79%(109/138),53%(17/32),0,0,0,0,63%(5/8),8,0,1,0.00,0.05,0,1,37%,1,1,19,2,57%(4/7),28,1,1,0.46,0.95,6,8,1,0.48,,0,3,30%(8/27),0,76%(109/143),60%(24/40),5,3,3,2,56%(5/9),3,7,9,1.50,1.48,
nLYTBXE8,rd_congo,23.12.2025 12:30,Football / Africa / Africa Cup of Nations - Round 1,D.R. Congo,Benin,1,0,,0,32%,1,1,17,3,20%(2/10),25,0,0,0.40,0.77,7,5,0,0.00,0,3,29%(6/21),0,72%(93/129),65%(22/34),3,2,1,1,50%(4/8),10,4,9,0.79,0.00,2,0,49%,1,2,11,2,25%(2/8),25,0,0,0.38,0.72,9,6,2,0.14,1,0,3,50%(13/26),1,76%(131/172),64%(39/61),3,3,2,4,25%(2/8),11,7,7,0.32,0.14,1,0,68%,0,0,8,3,17%(2/12),23,1,0,0.22,0.18,5,7,0,-0.21,0,2,63%(25/40),1,87%(242/277),67%(33/49),3,5,0,2,80%(4/5),14,5,6,0.00,0.79,0,0,51%,1,0,13,2,23%(3/13),33,0,0,0.17,0.31,6,9,2,0.32,0,0,4,31%(10/32),0,78%(138/176),67%(28/42),2,5,2,5,73%(8/11),2,7,8,0.14,0.32,3
bJtrQuz2,rd_congo,16.12.2025 15:00,Football / World / Friendly International,D.R. Congo,Zambia,2,0,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zDkUNnYR,rd_congo,16.11.2025 19:00,Football / Africa / World Championship - Qualification - Promotion - Final,Nigeria,D.R. Congo,1,1,,,51%,,,,2,,,,,,,11,8,,,,,,1,,,,1,2,,,12,3,,,,,,47%,,,,0,,,,,,,4,16,,,,,,,1,,,,0,0,,,4,0,,,,,,49%,,,,2,,,,,,,8,12,,,,,,0,,,,2,1,,,8,3,,,,,,53%,,,,4,,,,,,,14,5,,,,,,,1,,,,1,2,,,8,3,,,,
