match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
zP64Ye2M,republica_checa,local,72/88 (82%),Damsgaard M.Winger,16,0.07,8.2,1/3 (33%),3,3,120
zP64Ye2M,republica_checa,local,143/159 (90%),Andersen J.Centre back,21,0.22,8.0,-,2,1,184
zP64Ye2M,republica_checa,local,20/34 (59%),Krejci L.Centre back,10,0.24,7.8,-,1,2,69
zP64Ye2M,republica_checa,local,89/99 (90%),Hjulmand M.Midfielder,14,0.04,7.7,1/2 (50%),1,1,116
zP64Ye2M,republica_checa,local,4/6 (67%),Hogh K.Forward,3,0.07,7.4,-,1,3,9
zP64Ye2M,republica_checa,local,12/26 (46%),Sulc P.Attacking midfielder,25,0.15,7.4,2/8 (25%),3,4,61
zP64Ye2M,republica_checa,local,113/121 (93%),Hojbjerg P.Midfielder,13,0.22,7.2,1/1 (100%),5,2,140
zP64Ye2M,republica_checa,local,83/89 (93%),Norgaard C.Midfielder,6,-,7.2,-,-,-,97
zP64Ye2M,republica_checa,local,21/36 (58%),Coufal V.Wingback,8,-,7.1,2/2 (100%),-,1,88
zP64Ye2M,republica_checa,local,36/46 (78%),Eriksen C.Midfielder,-,0.04,7.1,-,1,-,52
zP64Ye2M,republica_checa,local,15/22 (68%),Zeleny J.Wingback,8,-,7.1,-,-,1,37
zP64Ye2M,republica_checa,local,12/21 (57%),Chaloupek S.Centre back,11,-,7.0,-,-,-,45
zP64Ye2M,republica_checa,local,29/35 (83%),Hojlund R.Striker,18,0.36,7.0,0/3 (0%),5,14,62
zP64Ye2M,republica_checa,local,62/81 (77%),Bah A.Fullback,19,-,6.9,-,-,1,118
zP64Ye2M,republica_checa,local,72/91 (79%),Maehle J.Fullback,6,0.03,6.9,0/1 (0%),1,3,135
zP64Ye2M,republica_checa,local,21/25 (84%),Isaksen G.Winger,10,0.08,6.8,0/3 (0%),2,6,44
zP64Ye2M,republica_checa,local,53/65 (82%),Nelsson V.Centre back,13,-,6.8,-,-,-,69
zP64Ye2M,republica_checa,local,16/21 (76%),Dreyer A.Forward,-,-,6.6,-,-,2,24
zP64Ye2M,republica_checa,local,34/36 (94%),Hermansen M.Goalkeeper,-,-,6.5,-,-,-,48
zP64Ye2M,republica_checa,local,13/30 (43%),Kovar M.Goalkeeper,-,-,6.5,-,-,-,43
zP64Ye2M,republica_checa,local,6/14 (43%),Cerv L.Midfielder,5,0.09,6.4,1/1 (100%),2,2,24
zP64Ye2M,republica_checa,local,4/6 (67%),Chory T.Forward,9,-,6.4,1/2 (50%),-,-,10
zP64Ye2M,republica_checa,local,11/17 (65%),Schick P.Striker,23,-,6.4,1/1 (100%),-,-,32
zP64Ye2M,republica_checa,local,10/18 (56%),Darida V.Midfielder,6,-,6.3,0/2 (0%),-,-,31
zP64Ye2M,republica_checa,local,25/32 (78%),Soucek T.Midfielder,11,0.22,6.2,-,1,2,44
zP64Ye2M,republica_checa,local,28/30 (93%),Froholdt V.Attacking midfielder,4,0.22,6.0,-,1,2,37
zP64Ye2M,republica_checa,local,6/9 (67%),Hranac R.Centre back,8,-,5.8,-,-,-,21
zP64Ye2M,republica_checa,local,1/3 (33%),Chytil M.Forward,7,-,5.5,0/2 (0%),-,-,12
zP64Ye2M,republica_checa,local,7/17 (41%),Provod L.Attacking midfielder,12,0.51,5.3,0/2 (0%),2,1,28
zP64Ye2M,republica_checa,local,5/5 (100%),Jensen M.Midfielder,-,-,-,-,-,-,5
zP64Ye2M,republica_checa,local,0/1 (0%),Sadilek M.Midfielder,-,-,-,-,-,-,1
x297yduB,republica_checa,local,75/90 (83%),Krejci L.Centre back,29,0.27,9.1,-,3,5,133
x297yduB,republica_checa,local,54/63 (86%),Chaloupek S.Defender,14,-,7.5,1/2 (50%),-,1,82
x297yduB,republica_checa,local,12/21 (57%),Parrott T.Striker,23,0.91,7.3,4/9 (44%),3,3,46
x297yduB,republica_checa,local,38/48 (79%),O'Shea D.Centre back,28,0.01,7.1,-,1,8,86
x297yduB,republica_checa,local,14/20 (70%),Kovar M.Goalkeeper,-,-,7.0,-,-,-,28
x297yduB,republica_checa,local,21/27 (78%),Sadilek M.Midfielder,3,0.02,7.0,-,1,-,43
x297yduB,republica_checa,local,10/14 (71%),Karabec A.Midfielder,9,-,6.9,1/2 (50%),-,1,23
x297yduB,republica_checa,local,61/69 (88%),Hranac R.Centre back,8,-,6.7,-,-,-,83
x297yduB,republica_checa,local,41/53 (77%),Molumby J.Midfielder,10,0.04,6.7,-,2,-,66
x297yduB,republica_checa,local,50/59 (85%),Provod L.Midfielder,18,0.04,6.7,0/1 (0%),2,3,89
x297yduB,republica_checa,local,43/52 (83%),Soucek T.Midfielder,13,0.24,6.7,1/1 (100%),2,6,74
x297yduB,republica_checa,local,32/42 (76%),Collins N.Centre back,19,0.25,6.6,-,2,4,63
x297yduB,republica_checa,local,15/41 (37%),Kelleher C.Goalkeeper,-,-,6.5,-,-,-,44
x297yduB,republica_checa,local,12/18 (67%),Manning R.Wingback,10,-,6.5,-,-,1,35
x297yduB,republica_checa,local,25/37 (68%),O'Brien J.Centre back,14,0.04,6.5,-,1,3,66
x297yduB,republica_checa,local,14/22 (64%),Coufal V.Wingback,4,-,6.4,-,-,-,36
x297yduB,republica_checa,local,-,Kliment J.Forward,2,-,6.4,-,-,-,1
x297yduB,republica_checa,local,12/14 (86%),Browne A.Midfielder,17,-,6.3,2/3 (67%),-,1,31
x297yduB,republica_checa,local,4/8 (50%),Chytil M.Forward,16,-,6.3,-,-,1,21
x297yduB,republica_checa,local,18/31 (58%),Coleman S.Wingback,8,-,6.3,2/3 (67%),-,-,49
x297yduB,republica_checa,local,6/9 (67%),Dunne J.Defender,4,-,6.3,-,-,-,14
x297yduB,republica_checa,local,19/25 (76%),Jurasek D.Wingback,10,-,6.3,-,-,-,46
x297yduB,republica_checa,local,0/1 (0%),Idah A.Forward,6,-,6.2,0/1 (0%),-,-,7
x297yduB,republica_checa,local,17/23 (74%),Holes T.Centre back,2,-,6.1,-,-,-,28
x297yduB,republica_checa,local,5/10 (50%),Chory T.Striker,19,-,5.9,-,-,3,24
x297yduB,republica_checa,local,20/23 (87%),Darida V.Midfielder,4,-,5.9,0/1 (0%),-,-,31
x297yduB,republica_checa,local,8/13 (62%),Schick P.Attacking midfielder,15,0.82,5.9,-,2,5,25
x297yduB,republica_checa,local,7/13 (54%),Taylor J.Midfielder,6,-,5.9,-,-,-,24
