match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
j1djEBZR,republica_checa,05.06.2026 00:00,Football / World / Friendly International,Czech Republic,Guatemala,3,1,,65%,,5,9.0,2,,,,,,,8,2,,,,,,,1.0,90%(325/363),,,2,2,,,2.0,9,,,,,,65%,,0,5.0,0,,,,,,,10,3,,,,,,,2,93%(320/344),,,8,4,,,21.0,12,,,,0.0,,35%,,0,16.0,0,,,,,,,2,10,,,,,,,0.0,81%(150/185),,,1,4,,,1.0,5,,,,,,35%,,0,26.0,0,,,,,,,2,9,,,,,,,1,79%(147/187),,,2,0,,,15.0,2,,,,1.0
tzT7JxcD,republica_checa,31.05.2026 14:00,Football / World / Friendly International,Czech Republic,Kosovo,2,1,,49%,,1,5.0,2,,,,,,,4,10,,,,,,,,83%(225/270),,,4,3,,,7.0,8,,,,,,49%,,1,12.0,3,,,,,,,11,9,,,,,,,3,87%(209/239),,,1,2,,,7.0,4,,,,0.0,,51%,,1,4.0,0,,,,,,,10,5,,,,,,,,84%(216/258),,,0,2,,,9.0,3,,,,,,51%,,1,5.0,2,,,,,,,9,12,,,,,,,0,79%(180/228),,,3,2,,,7.0,6,,,,1.0
zP64Ye2M,republica_checa,31.03.2026 18:45,Football / Europe / World Championship - Qualification - Promotion - Final,Czech Republic,Denmark,2,2,1.0,29%,1.0,1,17.0,3,13%(1/8),22.0,0.0,0.0,0.29,0.62,13,6,5.0,0.76,,0.0,3.0,25%(6/24),0.0,58%(67/115),54%(25/46),3.0,2,1,1.0,40%(4/10),7.0,4,5.0,0.8,0.76,1.0,0.0,20%,0.0,0,17.0,1,25%(1/4),27.0,1.0,0.0,0.04,0.06,5,3,0.0,-0.62,0.0,0.0,6.0,40%(8/20),0,54%(55/101),24%(6/25),0.0,0,1,1.0,67%(6/9),15.0,1,4.0,0.03,0.38,,0.0,71%,1.0,2,9.0,3,33%(2/6),35.0,0.0,0.0,0.85,0.51,6,13,0.0,-0.2,,0.0,3.0,45%(15/33),0.0,81%(249/306),70%(63/90),5.0,2,5,4.0,56%(5/9),16.0,9,13.0,0.76,0.8,1.0,1.0,80%,1.0,4,9.0,0,25%(3/12),29.0,0.0,0.0,1.31,0.59,3,5,1.0,0.03,1.0,0.0,4.0,43%(10/23),1,89%(377/422),89%(127/143),3.0,4,1,6.0,56%(5/9),16.0,9,14.0,0.38,0.03,
x297yduB,republica_checa,26.03.2026 19:45,Football / Europe / World Championship - Qualification - Promotion - Semi-finals,Czech Republic,Ireland,2,2,0.0,56%,1.0,1,13.0,1,20%(1/5),28.0,0.0,0.0,0.2,0.83,11,4,1.0,-0.18,,1.0,1.0,38%(9/24),0.0,78%(128/165),61%(17/28),1.0,0,1,1.0,50%(3/6),8.0,2,6.0,0.98,0.82,0.0,0.0,59%,0.0,1,22.0,4,28%(5/18),43.0,0.0,0.0,0.45,0.35,10,7,1.0,0.69,1.0,0.0,3.0,48%(13/27),2,79%(169/214),68%(54/79),5.0,2,2,0.0,60%(6/10),6.0,5,15.0,0.9,0.69,1.0,0.0,44%,1.0,2,4.0,4,56%(5/9),25.0,0.0,0.0,0.4,1.14,4,11,0.0,-0.02,,1.0,3.0,33%(9/27),0.0,67%(86/128),52%(22/42),5.0,3,2,2.0,75%(3/4),13.0,7,16.0,0.82,0.98,2.0,0.0,41%,0.0,0,24.0,4,15%(2/13),45.0,0.0,0.0,0.23,0.11,7,10,1.0,-0.1,0.0,1.0,3.0,26%(9/34),0,65%(95/146),45%(19/42),1.0,1,1,1.0,33%(2/6),13.0,2,8.0,0.69,0.9,0.0
EwyYabwA,republica_checa,17.11.2025 19:45,Football / Europe / World Championship - Qualification,Czech Republic,Gibraltar,6,0,0.0,65%,4.0,2,8.0,4,36%(5/14),14.0,0.0,0.0,1.14,1.96,5,2,0.0,0.0,1.0,0.0,3.0,58%(15/26),1.0,87%(233/268),81%(65/80),11.0,4,7,2.0,60%(3/5),10.0,13,19.0,3.89,0.0,,1.0,81%,4.0,2,4.0,8,19%(5/26),26.0,0.0,0.0,1.72,2.33,4,7,0.0,0.0,,1.0,3.0,59%(10/17),1,87%(295/341),80%(114/143),8.0,7,3,4.0,70%(7/10),13.0,12,33.0,1.04,0.0,0.0,0.0,35%,0.0,0,15.0,1,0%(0/2),11.0,0.0,0.0,0.06,0.0,2,5,2.0,-1.11,0.0,0.0,2.0,28%(9/32),0.0,73%(110/150),55%(23/42),0.0,0,0,0.0,60%(3/5),11.0,0,1.0,0.0,3.89,,0.0,19%,0.0,0,27.0,0,0%(0/1),19.0,0.0,0.0,0.02,0.0,7,4,2.0,0.04,,0.0,5.0,27%(8/30),0,55%(48/87),29%(6/21),0.0,0,0,0.0,33%(3/9),8.0,0,0.0,0.0,1.04,1.0
IkST97V7,republica_checa,13.11.2025 17:00,Football / World / Friendly International,Czech Republic,San Marino,1,0,,67%,,4,2.0,4,,,,,,,6,5,,,,,,,1.0,90%(320/355),,,7,1,,,,12,,,,,,65%,,2,7.0,2,,,,,,,10,8,,,,,,,1,84%(210/251),,,3,3,,,,8,,,,3.0,,33%,,0,28.0,0,,,,,,,6,7,,,,,,,0.0,64%(60/94),,,1,0,,,,1,,,,,,35%,,1,21.0,1,,,,,,,8,14,,,,,,,0,74%(95/128),,,1,0,,,,2,,,,3.0
lGmAakqR,republica_checa,12.10.2025 16:00,Football / Europe / World Championship - Qualification,Faroe Islands,Czech Republic,2,1,0.0,45%,0.0,1,17.0,1,38%(3/8),23.0,0.0,0.0,0.37,0.06,3,9,0.0,0.0,,0.0,7.0,47%(18/38),0.0,75%(150/200),69%(50/72),1.0,1,0,1.0,33%(1/3),7.0,2,10.0,0.0,0.0,0.0,0.0,29%,1.0,1,39.0,0,0%(0/2),21.0,0.0,0.0,0.1,0.62,7,4,0.0,-0.8,,0.0,6.0,17%(5/29),0,69%(98/142),53%(24/45),3.0,0,3,1.0,40%(2/5),4.0,4,6.0,1.42,0.2,3.0,1.0,55%,2.0,3,11.0,2,17%(2/12),20.0,0.0,0.0,0.94,1.05,9,3,0.0,0.0,,0.0,2.0,40%(10/25),0.0,80%(198/246),82%(79/96),3.0,2,0,2.0,33%(2/6),11.0,5,10.0,0.0,0.0,1.0,0.0,71%,1.0,4,6.0,5,20%(6/30),36.0,0.0,0.0,1.0,0.62,4,7,1.0,-0.58,,0.0,5.0,53%(10/19),1,84%(265/316),78%(105/135),7.0,4,1,2.0,60%(9/15),7.0,9,29.0,0.2,1.42,0.0
lhBKHyim,republica_checa,09.10.2025 18:45,Football / Europe / World Championship - Qualification,Czech Republic,Croatia,0,0,0.0,46%,0.0,2,7.0,2,17%(1/6),23.0,0.0,0.0,0.31,0.28,8,5,0.0,0.0,,0.0,7.0,42%(11/26),4.0,77%(134/174),64%(41/64),2.0,1,2,3.0,78%(7/9),7.0,5,13.0,0.43,0.0,,0.0,38%,0.0,2,23.0,3,44%(4/9),37.0,0.0,0.0,0.42,0.35,9,3,2.0,0.09,,0.0,3.0,50%(15/30),0,68%(89/130),65%(32/49),3.0,4,0,3.0,73%(11/15),12.0,6,8.0,0.0,0.09,0.0,0.0,54%,0.0,0,13.0,1,17%(1/6),37.0,0.0,0.0,0.18,0.2,5,8,2.0,0.43,,0.0,8.0,52%(17/33),0.0,79%(164/207),48%(15/31),2.0,2,0,0.0,45%(5/11),11.0,2,4.0,0.0,0.43,,1.0,62%,3.0,4,17.0,5,7%(1/14),22.0,0.0,0.0,0.5,0.57,3,9,0.0,0.0,,0.0,3.0,30%(7/23),0,84%(178/211),81%(46/57),3.0,2,2,5.0,67%(2/3),17.0,8,14.0,0.09,0.0,2.0
0E79zm3K,republica_checa,08.09.2025 17:15,Football / World / Friendly International,Czech Republic,Saudi Arabia,1,1,0.0,40%,2.0,2,7.0,1,50%(3/6),21.0,0.0,0.0,0.36,1.29,9,5,1.0,0.08,,0.0,5.0,53%(9/17),3.0,76%(126/165),57%(28/49),3.0,1,1,1.0,50%(6/12),8.0,4,9.0,0.82,0.08,0.0,0.0,31%,0.0,1,7.0,0,25%(1/4),15.0,0.0,0.0,0.13,0.05,11,3,3.0,0.05,,0.0,10.0,22%(6/27),2,67%(84/125),38%(10/26),2.0,1,0,0.0,60%(6/10),12.0,2,3.0,0.0,1.05,2.0,0.0,60%,0.0,0,2.0,1,20%(1/5),22.0,0.0,0.0,0.12,0.04,5,9,0.0,-0.18,,0.0,5.0,49%(18/37),0.0,83%(206/249),68%(23/34),0.0,0,1,1.0,75%(3/4),16.0,1,5.0,0.08,0.82,1.0,0.0,69%,2.0,1,6.0,1,33%(1/3),23.0,0.0,0.0,0.3,0.41,4,9,0.0,0.0,,0.0,5.0,65%(28/43),0,85%(250/295),75%(69/92),2.0,3,4,6.0,50%(4/8),17.0,8,8.0,1.05,0.0,2.0
UDX81BEE,republica_checa,05.09.2025 18:45,Football / Europe / World Championship - Qualification,Montenegro,Czech Republic,0,2,1.0,48%,1.0,4,17.0,4,13%(2/15),23.0,0.0,0.0,0.43,0.33,6,10,4.0,-0.36,,1.0,3.0,52%(11/21),0.0,83%(141/169),69%(31/45),5.0,4,2,5.0,67%(4/6),7.0,10,8.0,0.19,0.64,1.0,0.0,53%,1.0,3,7.0,2,27%(3/11),26.0,0.0,2.0,0.32,0.91,7,6,4.0,1.06,,0.0,7.0,55%(26/47),0,77%(154/201),61%(36/59),6.0,6,3,6.0,50%(3/6),13.0,12,12.0,0.69,2.06,3.0,0.0,52%,3.0,0,18.0,2,38%(6/16),18.0,0.0,0.0,0.69,0.86,10,6,2.0,0.19,,1.0,4.0,63%(22/35),1.0,81%(149/184),72%(49/68),6.0,4,5,3.0,25%(1/4),12.0,9,14.0,0.64,0.19,1.0,0.0,47%,2.0,3,15.0,4,14%(1/7),34.0,0.0,0.0,0.61,2.39,6,7,3.0,0.69,,0.0,4.0,41%(13/32),1,74%(131/177),72%(53/74),6.0,3,5,5.0,75%(6/8),10.0,11,12.0,2.06,0.69,0.0
