match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
l0r76kyJ,senegal,local,41/46 (89%),Mendy E.Goalkeeper,1,-,7.9,-,-,-,55
l0r76kyJ,senegal,local,11/24 (46%),Al Owais M.Goalkeeper,-,-,7.9,-,-,-,34
l0r76kyJ,senegal,local,8/8 (100%),Al Dawsari S.Winger,5,-,7.7,-,-,2,14
l0r76kyJ,senegal,local,42/47 (89%),Diatta K.Fullback,6,0.10,7.0,0/1 (0%),1,1,63
l0r76kyJ,senegal,local,19/22 (86%),Abdulhamid S.Fullback,7,0.04,6.8,1/1 (100%),1,1,37
l0r76kyJ,senegal,local,80/86 (93%),Niakhate M.Centre back,3,-,6.8,-,-,-,92
l0r76kyJ,senegal,local,32/38 (84%),Camara L.Midfielder,7,0.03,6.7,0/1 (0%),1,1,48
l0r76kyJ,senegal,local,17/22 (77%),Jakobs I.Defender,4,-,6.7,-,-,-,32
l0r76kyJ,senegal,local,17/19 (89%),Yahya A.Forward,8,0.02,6.7,0/3 (0%),1,-,28
l0r76kyJ,senegal,local,8/8 (100%),Al Ghannam K.Forward,4,-,6.6,-,-,-,13
l0r76kyJ,senegal,local,11/14 (79%),Al Hamdan A.Forward,4,0.04,6.6,1/1 (100%),1,1,20
l0r76kyJ,senegal,local,11/15 (73%),Hejji A.Midfielder,6,-,6.6,1/1 (100%),-,-,21
l0r76kyJ,senegal,local,19/20 (95%),Diarra H.Attacking midfielder,6,-,6.5,0/2 (0%),-,1,31
l0r76kyJ,senegal,local,23/27 (85%),Kanno M.Midfielder,2,-,6.5,0/1 (0%),-,1,30
l0r76kyJ,senegal,local,19/21 (90%),Lajami A.Defender,3,-,6.5,-,-,-,27
l0r76kyJ,senegal,local,17/17 (100%),Sarr P. M.Midfielder,5,-,6.5,1/2 (50%),-,-,23
l0r76kyJ,senegal,local,14/17 (82%),Thakri J.Defender,2,-,6.5,0/1 (0%),-,-,21
l0r76kyJ,senegal,local,13/16 (81%),Al Amri A.Centre back,2,-,6.4,-,-,-,21
l0r76kyJ,senegal,local,24/30 (80%),Al Juwayr M.Striker,9,0.16,6.4,-,3,2,40
l0r76kyJ,senegal,local,43/50 (86%),Ciss P.Midfielder,9,-,6.4,1/1 (100%),-,-,60
l0r76kyJ,senegal,local,19/22 (86%),Diouf M.Fullback,9,0.03,6.4,1/2 (50%),1,3,39
l0r76kyJ,senegal,local,16/19 (84%),Al Dawsari N.Midfielder,4,0.14,6.3,-,1,1,24
l0r76kyJ,senegal,local,3/4 (75%),Sarr I.Forward,3,0.04,6.3,-,1,1,8
l0r76kyJ,senegal,local,68/74 (92%),Sarr M.Centre back,3,0.02,6.3,-,1,1,82
l0r76kyJ,senegal,local,19/22 (86%),Tambakti H.Centre back,2,-,6.3,-,-,-,28
l0r76kyJ,senegal,local,8/9 (89%),Kadesh H.Defender,1,-,6.2,-,-,-,12
l0r76kyJ,senegal,local,10/12 (83%),Mandash S.Forward,4,-,6.2,-,-,-,20
l0r76kyJ,senegal,local,8/10 (80%),Al Buraikan F.Striker,5,0.20,6.1,-,1,1,18
l0r76kyJ,senegal,local,10/14 (71%),Boushal N.Defender,7,-,6.1,-,-,-,25
l0r76kyJ,senegal,local,19/21 (90%),Abu Al Shamat M.Winger,7,0.53,6.0,1/1 (100%),1,1,30
l0r76kyJ,senegal,local,18/23 (78%),Al Harbi M.Fullback,-,-,6.0,-,-,-,24
l0r76kyJ,senegal,local,32/39 (82%),Mane S.Winger,3,0.05,6.0,0/1 (0%),1,1,47
l0r76kyJ,senegal,local,5/9 (56%),Ndiaye C.Striker,3,0.14,6.0,0/1 (0%),1,1,17
l0r76kyJ,senegal,local,19/22 (86%),Al Khaibari A.Midfielder,1,-,5.9,-,-,-,24
l0r76kyJ,senegal,local,21/23 (91%),Ndiaye I.Winger,7,-,5.6,1/3 (33%),-,1,35
l0r76kyJ,senegal,local,1/1 (100%),Jackson N.Forward,6,-,5.0,-,-,-,7
l0r76kyJ,senegal,local,3/3 (100%),Dieng B.Forward,2,-,-,-,-,1,4
l0r76kyJ,senegal,local,9/9 (100%),Gueye I.Midfielder,-,-,-,-,-,-,10
l0r76kyJ,senegal,local,8/9 (89%),Koulibaly K.Defender,-,-,-,-,-,-,10
l0r76kyJ,senegal,local,4/8 (50%),Mbaye I.Forward,3,-,-,1/1 (100%),-,1,12
l0r76kyJ,senegal,local,3/3 (100%),Mendy A.Defender,3,-,-,1/3 (33%),-,1,10
OCQLSMLE,senegal,local,15/18 (83%),Mane S.Winger,13,0.91,8.6,2/6 (33%),2,7,37
OCQLSMLE,senegal,local,10/12 (83%),Pulisic C.Attacking midfielder,9,0.20,8.4,1/4 (25%),2,8,23
OCQLSMLE,senegal,local,3/6 (50%),Balogun F.Forward,2,0.98,8.1,-,4,6,14
OCQLSMLE,senegal,local,17/20 (85%),Dest S.Wingback,3,0.57,7.9,3/3 (100%),1,4,28
OCQLSMLE,senegal,local,8/11 (73%),Pepi R.Striker,4,0.18,7.5,1/1 (100%),2,3,17
OCQLSMLE,senegal,local,12/15 (80%),Tillman M.Midfielder,6,-,7.5,1/1 (100%),-,1,25
OCQLSMLE,senegal,local,12/17 (71%),Robinson A.Wingback,9,0.21,7.1,0/1 (0%),1,1,36
OCQLSMLE,senegal,local,11/14 (79%),Diarra H.Attacking midfielder,8,-,7.0,0/1 (0%),-,1,24
OCQLSMLE,senegal,local,22/27 (81%),Reyna G.Attacking midfielder,5,-,7.0,-,-,1,29
OCQLSMLE,senegal,local,27/28 (96%),Freeman A.Centre back,5,0.02,6.9,0/1 (0%),1,-,39
OCQLSMLE,senegal,local,12/12 (100%),Arfsten M.Forward,6,-,6.8,3/5 (60%),-,1,28
OCQLSMLE,senegal,local,26/29 (90%),Gueye P.Midfielder,2,0.11,6.7,-,2,1,35
OCQLSMLE,senegal,local,14/21 (67%),Ndiaye I.Winger,13,0.04,6.7,2/3 (67%),1,2,37
