match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
l0r76kyJ,senegal,09.06.2026 23:00,Football / World / Friendly International,Saudi Arabia,Senegal,0,0,,0,36%,3,1,5,1,33%(1/3),24,0,0,0.83,1.07,7,8,3,0.77,,0,8,32%(9/28),2,80%(131/163),55%(12/22),,4,3,3,3,67%(6/9),4,7,8,0.48,0.77,1,0,47%,0,0,9,0,0%(0/4),21,0,0,0.10,0.06,7,8,2,0.43,,0,6,42%(11/26),1,83%(174/210),67%(33/49),0,1,2,0,1,100%(10/10),8,2,2,0.00,0.43,2,0,64%,0,1,3,2,20%(1/5),13,0,2,0.35,0.35,8,7,4,0.48,,0,5,64%(14/22),0,89%(266/298),81%(77/95),,3,1,3,2,100%(1/1),10,5,7,0.77,0.48,1,0,53%,0,0,5,1,25%(2/8),25,0,0,0.27,0.06,8,7,0,0.00,,1,4,78%(14/18),2,87%(201/232),78%(49/63),1,2,0,2,0,80%(8/10),8,2,7,0.43,0.00,2
OCQLSMLE,senegal,31.05.2026 19:30,Football / World / Friendly International,USA,Senegal,3,2,,0,55%,2,5,8,1,25%(1/4),32,0,1,0.76,1.20,11,5,2,-0.08,,0,5,62%(13/21),0,85%(198/233),78%(63/81),,6,1,2,2,50%(5/10),7,8,18,0.95,0.92,,1,38%,3,1,11,3,25%(1/4),24,1,0,0.63,1.42,10,4,0,-0.01,,1,6,16%(3/19),1,77%(117/152),78%(40/51),,8,5,3,1,58%(7/12),8,9,14,1.68,0.99,1,2,45%,2,0,6,3,0%(0/9),22,0,0,1.05,0.97,5,11,0,-1.04,,0,7,47%(9/19),0,84%(153/183),67%(20/30),,3,2,2,1,43%(3/7),12,4,10,0.92,0.95,,0,62%,1,0,5,4,14%(1/7),25,1,1,0.39,0.69,4,10,2,0.68,,0,6,43%(10/23),2,86%(214/248),80%(47/59),,2,2,1,1,50%(3/6),13,3,11,0.99,1.68,0
h07emwOh,senegal,31.03.2026 19:00,Football / World / Friendly International,Senegal,Gambia,3,1,,,66%,,,,4,,,,,,,,,,,,,,,,,,,,4,5,,,,9,,,,0,,58%,,,,2,,,,,,,,,,,,,,,,,,,,3,4,,,,7,,,,1,,34%,,,,2,,,,,,,,,,,,,,,,,,,,3,1,,,,4,,,,1,,42%,,,,3,,,,,,,,,,,,,,,,,,,,4,3,,,,7,,,,0
2RM8s5se,senegal,28.03.2026 16:00,Football / World / Friendly International,Senegal,Peru,2,0,,0,57%,1,0,6,5,25%(3/12),22,0,1,0.91,0.98,5,8,1,0.33,,0,7,67%(12/18),0,89%(247/279),68%(34/50),,6,4,3,1,67%(2/3),8,7,12,0.94,0.33,0,0,63%,1,1,5,2,33%(2/6),19,0,1,0.43,0.91,4,2,1,0.19,,0,7,80%(12/15),0,93%(343/367),80%(33/41),,5,1,3,0,50%(3/6),4,5,8,1.06,0.19,1,0,43%,0,0,10,4,100%(2/2),13,0,0,0.26,0.15,8,5,2,-0.06,,0,7,45%(14/31),0,81%(176/218),68%(23/34),,1,1,1,1,38%(3/8),8,2,8,0.33,0.94,1,0,37%,0,2,2,2,0%(0/5),15,0,0,0.20,0.28,2,4,2,0.06,,1,7,52%(11/21),2,84%(181/216),69%(34/49),,2,2,1,3,75%(6/8),6,5,4,0.19,1.06,0
0KhPZfnQ,senegal,18.01.2026 19:00,Football / Africa / Africa Cup of Nations - Play Offs - Final,Senegal,Morocco,0,3,,0,51%,2,1,8,4,33%(2/6),23,0,0,0.20,0.55,7,6,0,0.00,,0,1,45%(10/22),0,87%(192/220),63%(22/35),,3,1,2,1,60%(6/10),7,4,5,0.86,0.00,1,0,61%,0,1,9,2,29%(2/7),24,0,1,0.17,0.16,9,3,2,0.91,,0,2,60%(12/20),0,84%(142/169),63%(22/35),,4,1,2,0,0%(0/1),10,4,10,0.53,0.91,3,0,49%,0,2,6,2,14%(1/7),24,0,0,0.13,0.15,6,7,2,0.86,,0,2,47%(7/15),1,88%(182/208),77%(47/61),,2,1,0,1,54%(7/13),10,3,9,0.00,0.86,0,0,39%,2,4,15,6,38%(5/13),22,0,0,0.40,1.36,3,9,2,0.53,,0,3,41%(9/22),0,78%(77/99),45%(10/22),,7,3,2,2,50%(4/8),3,9,12,0.91,0.53,1
pEDFPKdt,senegal,14.01.2026 17:00,Football / Africa / Africa Cup of Nations - Play Offs - Semi-finals,Senegal,Egypt,1,0,,0,70%,0,0,5,2,11%(1/9),21,0,0,0.13,0.07,5,6,0,0.00,,0,2,61%(19/31),1,89%(239/269),76%(34/45),,1,2,2,3,71%(5/7),13,4,5,0.20,0.00,2,1,58%,0,4,10,4,0%(0/11),23,0,0,0.27,0.26,5,5,1,0.05,,0,3,67%(16/24),0,86%(229/265),77%(75/98),,2,2,2,6,67%(4/6),12,8,10,0.22,0.05,,0,30%,0,0,14,0,0%(0/2),24,0,1,0.03,0.00,6,5,2,0.20,,0,2,16%(3/19),1,65%(73/113),62%(13/21),,0,0,0,0,45%(5/11),11,0,0,0.00,0.20,1,0,42%,0,1,14,1,60%(3/5),29,0,0,0.24,0.12,5,5,1,-0.78,,0,3,43%(19/44),0,74%(142/192),64%(30/47),,1,1,1,2,62%(8/13),12,3,9,0.05,0.22,
0bPxomE8,senegal,09.01.2026 16:00,Football / Africa / Africa Cup of Nations - Play Offs - Quarter-finals,Mali,Senegal,0,1,,0,40%,0,2,14,3,14%(1/7),16,1,0,0.10,0.07,6,3,1,0.05,,0,9,33%(7/21),2,77%(117/152),63%(20/32),1,2,1,0,1,67%(4/6),9,3,6,0.00,1.05,2,0,31%,2,1,11,2,0%(0/5),22,0,1,0.14,1.05,2,11,6,1.23,,0,9,24%(7/29),1,68%(80/118),61%(25/41),,3,2,2,2,0%(0/4),8,5,5,0.95,1.23,1,0,60%,1,4,15,3,13%(1/8),23,0,0,0.30,1.22,3,6,0,0.00,,0,1,53%(9/17),0,87%(204/235),75%(49/65),0,6,3,2,3,43%(3/7),5,9,11,1.05,0.00,1,0,69%,1,2,19,4,22%(2/9),21,0,0,0.34,0.66,11,2,2,0.95,,1,5,71%(15/21),1,88%(233/265),84%(77/92),,5,2,6,5,57%(4/7),10,10,11,1.23,0.95,4
UoNS6WpC,senegal,03.01.2026 16:00,Football / Africa / Africa Cup of Nations - Play Offs - 1/8-finals,Senegal,Sudan,3,1,,0,72%,1,1,8,5,37%(7/19),26,0,1,0.99,0.98,7,9,1,-0.22,,0,4,68%(19/28),2,84%(211/251),74%(57/77),,7,1,8,3,57%(4/7),11,10,24,2.18,0.78,1,0,62%,1,0,16,2,17%(1/6),25,0,0,0.35,0.50,15,8,1,0.23,,0,2,45%(10/22),1,84%(199/238),68%(40/59),,3,3,1,1,83%(5/6),4,4,8,0.66,0.23,1,0,28%,0,0,16,1,0%(0/2),25,1,0,0.04,0.15,9,7,6,0.18,,0,7,29%(8/28),0,63%(63/100),36%(14/39),,3,2,2,1,70%(7/10),6,4,6,0.78,2.18,0,0,38%,1,2,4,3,0%(0/8),28,0,0,0.33,0.34,8,15,0,-0.34,,0,5,28%(7/25),1,76%(107/140),62%(21/34),,2,2,1,3,67%(4/6),5,5,7,0.23,0.66,2
AJw92Tye,senegal,30.12.2025 19:00,Football / Africa / Africa Cup of Nations - Round 3,Benin,Senegal,0,3,,0,48%,0,0,5,1,0%(0/6),33,0,0,0.23,0.33,11,13,1,-0.01,0,0,6,41%(14/34),0,80%(159/200),52%(11/21),,2,2,1,1,73%(8/11),12,3,7,0.16,0.99,2,1,50%,1,0,14,3,14%(1/7),11,1,0,0.27,0.43,9,6,2,-0.06,,0,6,33%(6/18),0,85%(169/198),58%(18/31),0,2,1,3,2,33%(1/3),7,4,5,0.46,1.94,2,0,52%,1,0,11,0,33%(2/6),28,0,0,0.59,0.52,13,11,1,0.16,1,0,6,58%(11/19),0,86%(183/214),70%(42/60),,2,1,2,1,75%(3/4),8,3,5,0.99,0.16,1,3,50%,3,0,13,4,29%(2/7),31,0,0,0.76,1.42,6,9,3,0.46,,0,4,39%(9/23),0,84%(168/200),45%(20/44),1,5,3,4,2,60%(6/10),5,7,12,1.94,0.46,0
KYWyABqL,senegal,27.12.2025 15:00,Football / Africa / Africa Cup of Nations - Round 2,Senegal,D.R. Congo,1,1,,0,65%,1,2,5,3,17%(2/12),22,0,0,0.41,1.27,10,6,0,0.00,,0,4,67%(14/21),0,89%(231/260),82%(79/96),,5,6,1,4,100%(5/5),9,9,14,0.05,0.00,1,1,63%,2,0,9,2,0%(0/9),24,1,0,0.31,0.74,8,6,2,0.50,,0,3,58%(15/26),2,85%(208/246),65%(39/60),,2,0,2,0,56%(5/9),12,2,13,1.48,1.50,,0,35%,0,0,15,0,0%(0/6),22,0,0,0.03,0.00,6,10,1,0.05,,0,5,28%(7/25),1,79%(109/138),53%(17/32),,0,0,0,0,63%(5/8),8,0,1,0.00,0.05,0,1,37%,1,1,19,2,57%(4/7),28,1,1,0.46,0.95,6,8,1,0.48,,0,3,30%(8/27),0,76%(109/143),60%(24/40),,5,3,3,2,56%(5/9),3,7,9,1.50,1.48,
