match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
2NxSErMc,sudafrica,local,97/100 (97%),Makhanya O.Centre back,8,0.02,8.5,1/2 (50%),1,-,111
2NxSErMc,sudafrica,local,66/74 (89%),Matuludi T.Fullback,6,0.07,8.3,0/1 (0%),2,2,97
2NxSErMc,sudafrica,local,4/26 (15%),Pineda A.Goalkeeper,2,-,7.9,-,-,-,39
2NxSErMc,sudafrica,local,77/85 (91%),Sithole Y.Midfielder,8,0.17,7.9,1/1 (100%),1,2,95
2NxSErMc,sudafrica,local,48/51 (94%),Mbatha T.Midfielder,3,0.03,7.3,-,2,-,57
2NxSErMc,sudafrica,local,34/36 (94%),Mofokeng R.Forward,3,0.08,7.0,0/1 (0%),2,2,48
2NxSErMc,sudafrica,local,39/43 (91%),Appollis O.Forward,-,0.07,6.9,-,2,3,51
2NxSErMc,sudafrica,local,54/55 (98%),Okon I.Centre back,2,-,6.9,-,-,-,58
2NxSErMc,sudafrica,local,11/14 (79%),Sebelebele K.Winger,7,0.13,6.8,0/2 (0%),2,7,26
2NxSErMc,sudafrica,local,25/27 (93%),Adams J.Midfielder,1,0.09,6.7,-,1,1,30
2NxSErMc,sudafrica,local,6/9 (67%),Gutierrez J.Centre back,7,-,6.6,-,-,-,25
2NxSErMc,sudafrica,local,1/2 (50%),Rayners I.Forward,3,0.14,6.6,-,3,5,11
2NxSErMc,sudafrica,local,2/3 (67%),Bello O.Forward,4,-,6.5,-,-,-,11
2NxSErMc,sudafrica,local,2/4 (50%),Rivera Stuart J.Midfielder,4,-,6.5,-,-,-,12
2NxSErMc,sudafrica,local,30/31 (97%),Zwane T.Attacking midfielder,3,0.48,6.5,1/1 (100%),1,1,37
2NxSErMc,sudafrica,local,2/2 (100%),Castillo E.Forward,4,-,6.4,-,-,-,7
2NxSErMc,sudafrica,local,21/24 (88%),Cross B.Defender,1,-,6.4,-,-,-,26
2NxSErMc,sudafrica,local,9/9 (100%),Goss R.Goalkeeper,-,-,6.4,-,-,-,11
2NxSErMc,sudafrica,local,12/13 (92%),Moremi T.Winger,2,0.07,6.4,-,2,1,23
2NxSErMc,sudafrica,local,21/21 (100%),Sibisi N.Defender,1,-,6.4,-,-,-,22
2NxSErMc,sudafrica,local,33/41 (80%),Kabini S.Fullback,8,-,6.3,1/1 (100%),-,-,52
2NxSErMc,sudafrica,local,4/8 (50%),Sait L.Wingback,2,0.01,6.3,-,1,-,22
2NxSErMc,sudafrica,local,1/2 (50%),Zamora A. G.Midfielder,1,-,6.3,-,-,-,3
2NxSErMc,sudafrica,local,9/9 (100%),Chaine S.Goalkeeper,-,-,6.2,-,-,-,9
2NxSErMc,sudafrica,local,7/11 (64%),Cano J.Centre back,5,-,6.1,-,-,-,25
2NxSErMc,sudafrica,local,-,Orozco O.Midfielder,2,-,6.1,-,-,-,5
2NxSErMc,sudafrica,local,8/10 (80%),Coronel J.Midfielder,1,-,6.0,-,-,-,15
2NxSErMc,sudafrica,local,9/11 (82%),Jacob MontesMidfielder,7,-,6.0,1/3 (33%),-,-,22
2NxSErMc,sudafrica,local,4/6 (67%),Martinez E. J.Centre back,1,-,6.0,-,-,-,16
2NxSErMc,sudafrica,local,4/5 (80%),Garcia J.Striker,9,-,5.9,0/1 (0%),-,-,18
2NxSErMc,sudafrica,local,5/6 (83%),Moncada J.Midfielder,8,0.03,5.8,-,1,1,14
2NxSErMc,sudafrica,local,10/10 (100%),Foster L.Striker,3,0.79,5.7,-,1,1,14
2NxSErMc,sudafrica,local,6/10 (60%),Cole R.Wingback,9,0.03,5.5,0/2 (0%),1,-,21
2NxSErMc,sudafrica,local,19/23 (83%),Maseko T.Forward,7,0.04,-,2/2 (100%),2,1,37
2NxSErMc,sudafrica,local,0/1 (0%),Salinas O.Midfielder,-,-,-,-,-,-,2
2NxSErMc,sudafrica,local,1/2 (50%),Talavera W.Forward,-,-,-,-,-,-,3
A92e36c3,sudafrica,local,19/27 (70%),Kotto S.Centre back,7,-,7.9,-,-,1,47
A92e36c3,sudafrica,local,13/17 (76%),Nagida M.Defender,5,-,7.6,-,-,2,30
A92e36c3,sudafrica,local,3/7 (43%),Makgopa E.Forward,6,0.48,7.5,-,2,3,12
A92e36c3,sudafrica,local,14/17 (82%),Modiba A.Defender,2,-,7.4,-,-,1,22
A92e36c3,sudafrica,local,25/29 (86%),Appollis O.Attacking midfielder,9,0.13,7.3,0/5 (0%),2,3,46
A92e36c3,sudafrica,local,28/34 (82%),Baleba C.Midfielder,11,0.04,7.2,-,1,-,48
A92e36c3,sudafrica,local,10/12 (83%),Kofane C.Striker,9,0.46,7.2,-,4,4,20
A92e36c3,sudafrica,local,14/21 (67%),Tchamadeu J.Wingback,1,0.19,7.1,-,1,1,36
A92e36c3,sudafrica,local,16/30 (53%),Epassy D.Goalkeeper,2,-,7.0,-,-,-,36
A92e36c3,sudafrica,local,20/28 (71%),Malone Junior C.Centre back,12,0.01,7.0,0/1 (0%),1,-,47
A92e36c3,sudafrica,local,18/22 (82%),Namaso D.Midfielder,10,0.02,7.0,0/1 (0%),1,2,39
A92e36c3,sudafrica,local,23/31 (74%),Avom A.Midfielder,10,0.55,6.8,1/3 (33%),1,2,57
A92e36c3,sudafrica,local,41/49 (84%),Mbokazi M.Centre back,11,0.02,6.8,1/1 (100%),1,1,71
A92e36c3,sudafrica,local,67/74 (91%),Ngezana S.Centre back,12,-,6.8,-,-,-,86
A92e36c3,sudafrica,local,41/47 (87%),Aubaas B. J.Midfielder,14,0.02,6.7,0/1 (0%),1,1,59
A92e36c3,sudafrica,local,17/21 (81%),Mbeumo B.Striker,9,0.08,6.5,0/1 (0%),1,3,36
A92e36c3,sudafrica,local,67/76 (88%),Mokoena T.Midfielder,12,0.13,6.5,0/1 (0%),3,1,94
A92e36c3,sudafrica,local,2/3 (67%),Yongwa D.Wingback,3,-,6.5,1/1 (100%),-,1,7
A92e36c3,sudafrica,local,1/1 (100%),Kemen O.Midfielder,-,-,6.4,-,-,-,2
A92e36c3,sudafrica,local,21/26 (81%),Mofokeng R.Attacking midfielder,8,0.21,6.4,1/3 (33%),1,3,41
A92e36c3,sudafrica,local,11/15 (73%),NouhouCentre back,6,-,6.4,-,-,-,24
A92e36c3,sudafrica,local,9/11 (82%),Mbule S.Midfielder,-,-,6.3,-,-,1,15
A92e36c3,sudafrica,local,66/70 (94%),Sibisi N.Centre back,4,-,6.3,0/1 (0%),-,2,76
A92e36c3,sudafrica,local,25/34 (74%),Williams R.Goalkeeper,-,-,6.3,-,-,-,40
A92e36c3,sudafrica,local,-,Wooh C.Defender,-,-,6.3,-,-,-,7
A92e36c3,sudafrica,local,37/40 (93%),Mudau K.Wingback,3,0.24,6.1,-,2,2,64
A92e36c3,sudafrica,local,12/16 (75%),Foster L.Striker,6,0.51,6.0,0/3 (0%),4,7,33
A92e36c3,sudafrica,local,13/18 (72%),Kabini S.Wingback,-,0.34,5.5,-,2,3,28
A92e36c3,sudafrica,local,-,Boyomo F.Defender,1,-,-,-,-,-,2
A92e36c3,sudafrica,local,1/1 (100%),Moremi T.Forward,1,-,-,1/1 (100%),-,-,6
A92e36c3,sudafrica,local,0/1 (0%),Soko P.Forward,2,-,-,-,-,-,2
G0AMBCcB,sudafrica,local,11/15 (73%),Foster L.Striker,6,0.08,8.2,1/1 (100%),1,4,24
G0AMBCcB,sudafrica,local,31/40 (78%),Appollis O.Winger,3,0.91,7.6,0/1 (0%),4,9,57
