match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
KtzQ3QRH,sudafrica,06.06.2026 21:00,Football / World / Friendly International,Jamaica,South Africa,1,1,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2NxSErMc,sudafrica,29.05.2026 16:00,Football / World / Friendly International,South Africa,Nicaragua,0,0,,0.0,82%,2.0,3.0,4.0,2.0,22%(2/9),20.0,0.0,0.0,0.76,1.53,8.0,7.0,0.0,0.0,1.0,0.0,80%(16/20),0.0,92%(276/299),83%(92/111),,5.0,5.0,0.0,3.0,86%(6/7),7.0,8.0,13.0,0.0,0.0,,0.0,89%,0.0,3.0,0.0,4.0,,17.0,0.0,0.0,0.72,0.65,0.0,3.0,0.0,0.0,,0.0,0.0,83%(15/18),0.0,92%(340/369),88%(183/208),,6.0,5.0,6.0,8.0,60%(3/5),9.0,14.0,13.0,0.48,0.0,0.0,0.0,18%,0.0,0.0,18.0,1.0,50%(1/2),14.0,0.0,0.0,0.04,0.07,7.0,8.0,0.0,0.0,0.0,5.0,33%(6/18),0.0,67%(45/67),23%(3/13),,1.0,3.0,0.0,2.0,33%(1/3),7.0,3.0,1.0,0.0,0.0,,0.0,11%,0.0,0.0,27.0,0.0,,15.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.48,,0.0,5.0,13%(3/24),0.0,41%(20/49),38%(3/8),,0.0,0.0,0.0,0.0,45%(5/11),5.0,0.0,0.0,0.0,0.48,2.0
rmPFz0vm,sudafrica,31.03.2026 17:30,Football / World / Friendly International,South Africa,Panama,1,2,,0.0,57%,1.0,2.0,4.0,1.0,0%(0/3),27.0,0.0,0.0,0.18,0.18,4.0,8.0,1.0,0.06,0.0,6.0,50%(14/28),2.0,88%(276/314),66%(35/53),,1.0,1.0,0.0,2.0,69%(9/13),8.0,3.0,3.0,0.0,0.06,0.0,0.0,50%,0.0,1.0,6.0,0.0,100%(1/1),8.0,0.0,0.0,0.34,0.15,7.0,5.0,1.0,-0.42,0.0,0.0,2.0,55%(6/11),0.0,84%(87/104),58%(15/26),,1.0,1.0,2.0,2.0,100%(1/1),4.0,4.0,6.0,0.56,1.58,3.0,0.0,43%,1.0,1.0,9.0,0.0,0%(0/2),20.0,0.0,0.0,0.3,0.18,8.0,4.0,1.0,0.0,0.0,6.0,67%(14/21),0.0,85%(202/239),67%(32/48),,2.0,1.0,1.0,1.0,43%(3/7),7.0,3.0,6.0,0.06,0.0,2.0,0.0,50%,2.0,0.0,4.0,1.0,43%(3/7),11.0,0.0,0.0,0.71,0.81,5.0,7.0,0.0,-0.44,1.0,0.0,1.0,65%(11/17),0.0,82%(80/97),61%(11/18),,4.0,4.0,4.0,1.0,67%(2/3),3.0,8.0,8.0,1.58,0.56,2.0
0rIvuc36,sudafrica,27.03.2026 17:00,Football / World / Friendly International,South Africa,Panama,1,1,,1.0,71%,4.0,0.0,1.0,1.0,,26.0,0.0,0.0,0.81,1.48,7.0,8.0,1.0,-0.77,0.0,1.0,57%(12/21),1.0,90%(299/334),77%(63/82),,5.0,4.0,4.0,3.0,63%(5/8),5.0,8.0,8.0,0.45,0.23,1.0,1.0,57%,1.0,1.0,3.0,4.0,30%(3/10),18.0,0.0,0.0,0.47,0.37,5.0,8.0,0.0,0.0,,0.0,4.0,63%(12/19),3.0,85%(218/256),75%(64/85),,2.0,2.0,1.0,2.0,50%(2/4),8.0,4.0,12.0,0.84,0.0,0.0,0.0,29%,0.0,0.0,10.0,0.0,,19.0,0.0,1.0,0.03,0.09,8.0,7.0,4.0,0.45,0.0,7.0,38%(8/21),3.0,77%(107/139),41%(7/17),,1.0,0.0,2.0,1.0,50%(3/6),3.0,2.0,2.0,0.23,0.45,1.0,0.0,43%,0.0,0.0,12.0,1.0,50%(1/2),16.0,0.0,0.0,0.34,0.14,8.0,5.0,0.0,-0.16,,1.0,7.0,35%(8/23),2.0,82%(159/193),59%(17/29),,1.0,1.0,0.0,0.0,83%(5/6),11.0,1.0,7.0,0.0,0.84,1.0
A92e36c3,sudafrica,04.01.2026 19:00,Football / Africa / Africa Cup of Nations - Play Offs - 1/8-finals,South Africa,Cameroon,1,2,,1.0,57%,2.0,2.0,10.0,3.0,38%(3/8),21.0,0.0,0.0,0.69,0.71,7.0,8.0,1.0,-0.5,0.0,1.0,55%(12/22),3.0,86%(190/220),77%(27/35),,5.0,4.0,1.0,2.0,43%(3/7),9.0,7.0,11.0,0.38,0.5,1.0,0.0,75%,2.0,4.0,8.0,3.0,18%(3/17),25.0,0.0,0.0,1.07,1.37,7.0,5.0,1.0,0.15,0.0,0.0,2.0,56%(15/27),0.0,85%(252/295),75%(70/93),,7.0,4.0,3.0,4.0,78%(7/9),15.0,11.0,17.0,1.76,1.15,4.0,0.0,43%,1.0,1.0,9.0,1.0,33%(2/6),18.0,0.0,1.0,0.13,0.31,8.0,7.0,1.0,0.38,0.0,3.0,29%(8/28),0.0,80%(131/164),45%(17/38),,2.0,2.0,2.0,3.0,83%(5/6),5.0,5.0,7.0,0.5,0.38,1.0,1.0,25%,2.0,1.0,30.0,2.0,50%(2/4),24.0,0.0,0.0,0.59,1.05,5.0,7.0,2.0,0.76,1.0,0.0,7.0,33%(8/24),0.0,62%(61/99),42%(13/31),,4.0,2.0,2.0,1.0,63%(5/8),7.0,5.0,9.0,1.15,1.76,1.0
G0AMBCcB,sudafrica,29.12.2025 16:00,Football / Africa / Africa Cup of Nations - Round 3,Zimbabwe,South Africa,2,3,,0.0,32%,1.0,1.0,9.0,1.0,13%(1/8),22.0,0.0,0.0,0.29,0.58,8.0,7.0,3.0,-0.11,0.0,10.0,23%(6/26),0.0,65%(72/111),49%(24/49),,3.0,2.0,1.0,1.0,43%(3/7),8.0,4.0,8.0,0.7,0.89,0.0,1.0,36%,2.0,1.0,8.0,2.0,25%(1/4),31.0,2.0,0.0,0.71,0.7,6.0,4.0,3.0,-0.55,0.0,1.0,6.0,52%(11/21),5.0,71%(93/131),60%(25/42),,4.0,3.0,2.0,2.0,56%(5/9),12.0,6.0,16.0,0.38,1.45,1.0,0.0,68%,2.0,1.0,19.0,1.0,17%(1/6),29.0,0.0,0.0,0.63,0.47,7.0,8.0,0.0,-0.3,0.0,3.0,57%(17/30),0.0,84%(214/254),72%(44/61),,6.0,3.0,4.0,2.0,40%(2/5),8.0,8.0,14.0,0.89,0.7,1.0,0.0,64%,2.0,1.0,15.0,2.0,25%(1/4),26.0,0.0,1.0,0.37,1.04,4.0,6.0,2.0,0.38,1.0,0.0,5.0,55%(16/29),1.0,82%(190/233),66%(40/61),,4.0,2.0,5.0,4.0,38%(3/8),10.0,8.0,11.0,1.45,0.38,0.0
8fmeeiDU,sudafrica,26.12.2025 15:00,Football / Africa / Africa Cup of Nations - Round 2,Egypt,South Africa,1,0,,0.0,48%,1.0,0.0,5.0,2.0,17%(1/6),15.0,0.0,0.0,0.09,0.89,5.0,6.0,1.0,0.25,0.0,3.0,48%(12/25),0.0,86%(166/194),64%(23/36),1.0,1.0,1.0,1.0,1.0,33%(2/6),10.0,2.0,4.0,0.92,0.25,2.0,1.0,26%,0.0,1.0,40.0,2.0,20%(1/5),32.0,0.0,0.0,0.17,0.13,5.0,3.0,5.0,1.14,,0.0,4.0,53%(17/32),0.0,69%(79/115),69%(20/29),,3.0,1.0,2.0,1.0,47%(9/19),8.0,4.0,4.0,0.05,1.14,,0.0,52%,0.0,0.0,5.0,0.0,0%(0/4),13.0,0.0,0.0,0.04,0.04,6.0,5.0,0.0,-0.08,0.0,2.0,52%(13/25),2.0,86%(187/217),48%(11/23),0.0,1.0,0.0,1.0,0.0,60%(3/5),7.0,1.0,2.0,0.25,0.92,3.0,2.0,74%,1.0,3.0,5.0,7.0,13%(3/24),29.0,0.0,0.0,1.36,0.71,3.0,5.0,2.0,0.05,,0.0,4.0,55%(12/22),2.0,90%(288/320),82%(120/147),,6.0,9.0,5.0,11.0,64%(7/11),11.0,17.0,22.0,1.14,0.05,
zskmcDrI,sudafrica,22.12.2025 17:00,Football / Africa / Africa Cup of Nations - Round 1,South Africa,Angola,2,1,,0.0,57%,0.0,1.0,18.0,0.0,75%(3/4),21.0,0.0,0.0,0.21,0.2,7.0,11.0,3.0,0.42,0.0,3.0,41%(12/29),0.0,87%(204/235),69%(33/48),,3.0,1.0,2.0,1.0,50%(3/6),13.0,4.0,8.0,0.8,1.42,2.0,0.0,58%,1.0,1.0,8.0,1.0,20%(1/5),24.0,0.0,0.0,0.16,0.24,10.0,12.0,0.0,0.0,,1.0,0.0,52%(15/29),1.0,83%(186/223),73%(58/79),,1.0,3.0,2.0,5.0,100%(4/4),8.0,6.0,6.0,0.67,0.0,0.0,0.0,43%,2.0,1.0,10.0,5.0,40%(6/15),19.0,0.0,0.0,0.22,0.45,11.0,7.0,1.0,-0.2,0.0,2.0,56%(10/18),0.0,81%(134/165),58%(31/53),,4.0,0.0,4.0,1.0,50%(2/4),9.0,5.0,12.0,1.42,0.8,1.0,0.0,42%,0.0,4.0,6.0,4.0,25%(3/12),23.0,0.0,0.0,0.33,0.44,12.0,10.0,1.0,-0.33,,0.0,8.0,32%(9/28),1.0,79%(121/153),71%(24/34),,3.0,1.0,0.0,2.0,33%(1/3),4.0,5.0,11.0,0.0,0.67,1.0
xlOjotmf,sudafrica,16.12.2025 14:00,Football / World / Friendly International,South Africa,Ghana B,1,0,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tMSgBHdD,sudafrica,15.11.2025 13:00,Football / World / Friendly International,South Africa,Zambia,3,1,,0.0,69%,2.0,1.0,10.0,0.0,33%(1/3),19.0,0.0,0.0,0.48,0.47,11.0,6.0,0.0,0.0,0.0,2.0,87%(13/15),0.0,91%(261/286),79%(66/84),,3.0,4.0,3.0,5.0,30%(3/10),9.0,8.0,13.0,0.55,0.0,0.0,0.0,64%,1.0,2.0,14.0,1.0,20%(1/5),26.0,0.0,0.0,0.17,0.27,7.0,9.0,0.0,-0.86,1.0,0.0,5.0,68%(15/22),0.0,85%(188/220),77%(34/44),,2.0,1.0,3.0,4.0,86%(12/14),10.0,6.0,3.0,0.71,0.14,1.0,0.0,31%,0.0,1.0,3.0,2.0,0%(0/6),23.0,0.0,0.0,0.04,0.03,6.0,11.0,2.0,-0.45,0.0,6.0,52%(17/33),0.0,81%(97/120),63%(20/32),,1.0,0.0,0.0,0.0,63%(5/8),5.0,1.0,7.0,0.0,0.55,1.0,0.0,36%,0.0,0.0,6.0,5.0,8%(1/12),15.0,0.0,0.0,0.16,0.36,9.0,7.0,1.0,-1.29,0.0,0.0,5.0,64%(14/22),0.0,72%(79/110),60%(15/25),,3.0,3.0,1.0,1.0,100%(5/5),14.0,4.0,10.0,0.14,0.71,0.0
