match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
nVbellBj,suecia,local,15/16 (94%),Ali T.Forward,4,-,7.5,2/2 (100%),-,4,25
nVbellBj,suecia,local,78/82 (95%),Hien I.Centre back,7,-,7.5,-,-,-,89
nVbellBj,suecia,local,4/7 (57%),Nilsson G.Forward,2,0.54,7.4,-,1,1,10
nVbellBj,suecia,local,20/24 (83%),Tsimikas K.Wingback,4,0.09,7.4,-,1,1,37
nVbellBj,suecia,local,33/41 (80%),Tzolis C.Attacking midfielder,5,0.13,7.4,2/3 (67%),2,5,49
nVbellBj,suecia,local,4/7 (57%),Kostoulas C.Forward,3,-,7.1,1/2 (50%),-,1,13
nVbellBj,suecia,local,47/53 (89%),Koulierakis K.Centre back,6,-,7.0,-,-,-,62
nVbellBj,suecia,local,7/12 (58%),Gyökeres V.Striker,5,0.13,6.9,0/1 (0%),2,3,19
nVbellBj,suecia,local,11/15 (73%),Tetteh A.Attacking midfielder,17,0.27,6.9,2/3 (67%),3,4,38
nVbellBj,suecia,local,17/17 (100%),Bergvall L.Midfielder,5,-,6.7,-,-,-,22
nVbellBj,suecia,local,40/45 (89%),Zafeiris C.Midfielder,9,0.01,6.7,1/2 (50%),1,-,59
nVbellBj,suecia,local,19/21 (90%),Zeneli B.Midfielder,3,0.18,6.7,-,1,2,26
nVbellBj,suecia,local,16/18 (89%),Elanga A.Forward,4,0.13,6.6,1/2 (50%),2,2,25
nVbellBj,suecia,local,25/26 (96%),Rota L.Wingback,5,0.02,6.6,1/1 (100%),1,1,36
nVbellBj,suecia,local,7/9 (78%),Bernhardsson A.Wingback,7,0.10,6.5,3/4 (75%),2,2,24
nVbellBj,suecia,local,52/58 (90%),Lagerbielke G.Centre back,-,-,6.5,-,-,1,59
nVbellBj,suecia,local,55/57 (96%),Mavropanos K.Centre back,4,0.20,6.5,-,1,1,63
