match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
nVbellBj,suecia,04.06.2026 17:00,Football / World / Friendly International,Sweden,Greece,2,2,1,49%,1,0,11,0,33%(1/3),23,0,1,0.29,0.42,5,3,2,-0.07,,0,1,38%(8/21),0,84%(204/242),65%(30/46),3,3,1,1,56%(5/9),10,4,8,0.07,0.93,0,0,57%,2,1,7,1,0%(0/4),25,0,0,0.93,1.15,1,8,0,-0.77,,0,2,50%(7/14),0,88%(281/318),73%(63/86),,7,4,4,2,80%(8/10),7,9,15,1.08,0.23,0,0,51%,0,2,7,3,13%(1/8),29,0,0,0.59,0.68,3,5,1,0.07,,1,3,54%(13/24),1,87%(213/244),74%(55/74),5,4,3,4,73%(8/11),4,9,13,0.93,0.07,1,0,43%,1,1,3,1,17%(1/6),10,0,0,0.53,0.63,8,1,2,-0.92,,1,4,74%(20/27),0,87%(207/238),79%(49/62),,2,2,1,2,100%(4/4),5,4,4,0.23,1.08,1
dOKMzug3,suecia,01.06.2026 17:00,Football / World / Friendly International,Norway,Sweden,3,1,0,57%,5,4,5,2,,29,0,1,1.44,1.87,4,3,1,0.17,2,0,2,67%(16/24),0,86%(253/293),79%(77/98),12,3,5,0,64%(7/11),11,12,25,2.67,0.17,,0,54%,2,3,3,4,22%(2/9),18,0,0,0.64,0.86,2,3,2,-0.22,,0,3,65%(17/26),2,91%(262/288),87%(60/69),,8,5,2,2,50%(2/4),8,10,25,0.19,0.78,0,0,43%,1,0,23,0,,15,1,0,0.06,0.26,3,4,2,-0.36,0,0,3,40%(6/15),1,86%(199/232),71%(20/28),4,2,2,0,83%(5/6),6,4,6,0.17,2.64,,0,46%,0,2,11,1,0%(0/2),16,0,0,0.14,0.23,3,2,2,0.18,,0,3,47%(8/17),1,91%(230/253),77%(37/48),,4,0,3,1,57%(4/7),8,5,8,0.39,0.18,1
pEpXAtm1,suecia,31.03.2026 18:45,Football / Europe / World Championship - Qualification - Promotion - Final,Sweden,Poland,3,2,0,40%,1,0,16,0,40%(2/5),21,0,1,0.49,0.63,5,9,5,-0.10,1,0,4,30%(6/20),0,75%(115/154),49%(19/39),2,0,2,0,75%(3/4),12,2,8,1.35,0.90,0,0,26%,1,2,22,2,75%(3/4),23,0,0,0.49,1.02,10,6,0,-0.01,,1,3,18%(4/22),1,71%(69/97),56%(23/41),,7,2,3,0,83%(5/6),5,7,13,1.27,0.99,2,0,60%,0,3,14,6,14%(2/14),22,0,0,0.30,0.48,9,5,0,-0.65,0,0,4,50%(12/24),1,84%(189/225),76%(45/59),5,0,6,4,80%(4/5),8,9,13,0.90,1.35,1,0,74%,2,2,9,3,33%(4/12),23,0,0,1.65,1.05,6,10,2,0.27,,0,3,57%(20/35),3,86%(243/282),73%(53/73),,3,3,1,3,100%(2/2),9,6,18,0.99,1.27,2
YT2GZZ9N,suecia,26.03.2026 19:45,Football / Europe / World Championship - Qualification - Promotion - Semi-finals,Ukraine,Sweden,1,3,0,72%,0,0,4,1,29%(2/7),20,0,0,0.30,0.09,5,7,0,0.00,,0,1,29%(8/28),1,86%(297/347),73%(60/82),2,2,0,0,38%(3/8),11,2,8,0.00,1.00,,0,63%,2,1,6,8,12%(3/25),23,0,0,0.42,0.67,7,3,1,-0.22,1,0,4,39%(7/18),4,82%(177/215),71%(37/52),,5,3,4,3,70%(7/10),11,8,13,1.47,1.78,2,0,28%,1,0,15,2,20%(1/5),15,0,0,0.55,1.11,7,5,0,0.00,,1,5,33%(7/21),0,73%(95/130),60%(32/53),3,2,1,0,100%(3/3),13,3,5,1.00,0.00,,0,37%,1,2,30,1,50%(1/2),20,1,1,0.33,1.27,3,7,3,0.47,0,0,5,38%(12/32),0,78%(107/138),66%(23/35),,6,2,3,1,100%(3/3),5,7,11,1.78,1.47,1
2VVVu9Bc,suecia,18.11.2025 19:45,Football / Europe / World Championship - Qualification,Sweden,Slovenia,1,1,0,54%,0,0,9,3,0%(0/4),16,0,2,0.07,0.08,5,5,1,0.16,,0,4,44%(7/16),0,91%(270/298),61%(22/36),1,2,0,1,50%(2/4),9,2,2,0.00,0.16,1,0,69%,0,4,10,3,36%(4/11),19,1,1,0.40,0.56,1,6,1,0.01,,0,5,36%(8/22),2,88%(287/328),71%(55/78),,7,3,2,2,80%(4/5),10,9,15,0.29,1.01,1,0,46%,0,5,7,2,10%(1/10),18,0,0,0.21,0.65,5,5,0,0.00,,0,4,70%(26/37),1,90%(225/251),82%(40/49),6,2,1,2,63%(5/8),7,8,10,0.16,0.00,0,0,31%,1,5,17,5,10%(1/10),16,0,2,0.82,1.48,6,1,1,-0.71,,0,11,41%(12/29),1,74%(105/142),72%(39/54),,6,2,2,3,38%(3/8),8,9,12,1.01,0.29,1
rRb5PmRG,suecia,15.11.2025 19:45,Football / Europe / World Championship - Qualification,Switzerland,Sweden,4,1,0,58%,0,0,3,2,27%(3/11),15,0,0,0.32,0.26,9,4,1,-0.52,,0,2,48%(15/31),0,89%(246/276),82%(63/77),4,2,2,0,33%(2/6),8,4,4,0.75,0.48,1,0,59%,2,0,5,2,0%(0/9),23,0,1,0.31,1.45,4,14,1,0.39,,0,1,54%(14/26),0,90%(230/255),76%(34/45),,5,0,5,0,75%(3/4),10,5,15,1.97,0.39,0,0,42%,1,0,10,1,40%(2/5),23,0,0,0.21,0.61,4,9,1,-0.25,,0,4,54%(15/28),0,82%(166/203),56%(19/34),4,2,2,0,60%(3/5),8,4,6,0.48,0.75,1,0,41%,0,0,15,2,0%(0/4),19,0,1,0.10,0.04,14,4,2,-1.03,,0,2,80%(8/10),1,88%(154/175),77%(27/35),,1,1,1,1,50%(4/8),5,2,3,0.39,1.97,3
OpKvvmtA,suecia,13.10.2025 18:45,Football / Europe / World Championship - Qualification,Sweden,Kosovo,0,1,0,60%,1,2,10,6,15%(2/13),22,0,0,0.42,0.52,7,7,2,0.08,,0,6,54%(13/24),0,87%(252/291),69%(61/88),4,1,1,0,33%(1/3),9,4,18,0.05,1.08,0,0,75%,1,1,2,6,52%(11/21),20,0,0,1.21,0.62,9,3,0,0.00,,0,2,48%(12/25),0,86%(337/392),81%(157/193),,8,5,3,1,71%(5/7),12,9,26,0.50,0.00,0,0,40%,2,0,24,0,20%(1/5),22,0,0,0.35,1.13,7,7,1,0.05,,1,7,50%(15/30),2,82%(163/200),70%(32/46),4,3,3,2,38%(3/8),6,6,10,1.08,0.05,1,0,25%,0,0,24,0,0%(0/1),19,0,0,0.02,0.02,3,9,3,0.50,,0,10,39%(13/33),1,66%(89/135),40%(12/30),,0,1,0,1,50%(3/6),7,1,0,0.00,0.50,1
GdEIW4Yq,suecia,10.10.2025 18:45,Football / Europe / World Championship - Qualification,Sweden,Switzerland,0,2,1,35%,2,1,13,1,29%(2/7),24,0,1,1.00,0.51,5,4,2,0.23,,1,10,39%(11/28),1,76%(125/164),59%(26/44),2,3,0,2,62%(8/13),7,4,8,0.00,0.23,,0,46%,1,0,10,3,25%(1/4),27,0,0,0.31,0.40,8,6,2,-0.75,,0,7,39%(9/23),0,81%(171/211),67%(31/46),,3,3,0,0,25%(1/4),10,3,9,0.00,1.25,1,0,65%,1,2,11,6,25%(3/12),19,0,0,0.59,0.53,4,5,0,0.00,,1,5,59%(19/32),1,85%(261/306),81%(82/101),3,3,3,5,33%(1/3),11,8,7,0.23,0.00,,0,54%,3,2,5,3,22%(2/9),39,0,0,0.91,1.61,6,8,0,0.00,,0,6,38%(8/21),0,84%(207/246),83%(72/87),,6,2,5,3,65%(13/20),15,9,15,1.25,0.00,1
WUoUl4fS,suecia,08.09.2025 18:45,Football / Europe / World Championship - Qualification,Kosovo,Sweden,2,0,2,31%,2,1,18,0,25%(1/4),26,0,0,0.60,0.98,7,4,2,0.22,,0,4,38%(14/37),0,65%(105/161),52%(25/48),3,1,4,3,43%(3/7),11,6,9,1.60,0.22,,0,32%,1,0,21,1,40%(2/5),21,0,0,0.50,0.51,6,8,3,0.31,,0,6,28%(10/36),3,67%(93/138),52%(27/52),1,4,4,1,1,100%(4/4),6,5,8,0.18,0.31,5,0,69%,0,2,7,2,30%(3/10),18,0,0,0.56,0.45,4,7,2,-0.40,,0,6,47%(8/17),1,85%(296/348),70%(77/110),3,4,2,5,100%(3/3),10,8,20,0.22,1.60,,1,68%,1,2,8,3,10%(2/21),14,0,1,0.58,0.50,8,6,1,0.18,,0,6,63%(10/16),2,83%(231/278),75%(88/117),0,6,1,3,0,67%(2/3),14,6,14,0.31,0.18,4
AFcLjQPF,suecia,05.09.2025 18:45,Football / Europe / World Championship - Qualification,Slovenia,Sweden,2,2,0,42%,0,1,12,1,33%(1/3),26,0,0,0.25,0.09,10,12,0,-0.01,,0,8,49%(19/39),1,69%(116/169),56%(18/32),2,1,0,0,60%(3/5),13,2,8,0.00,0.99,1,0,39%,0,2,9,0,50%(3/6),26,1,0,0.25,0.66,9,9,1,-0.82,,0,7,43%(16/37),0,73%(110/150),56%(28/50),,4,1,4,3,75%(6/8),12,7,6,1.10,0.18,1,0,58%,1,0,10,3,17%(1/6),22,0,0,0.43,0.92,12,10,0,0.00,,0,6,46%(11/24),2,75%(176/235),73%(72/99),3,2,1,0,57%(4/7),12,3,15,0.99,0.00,1,0,61%,1,0,9,1,29%(2/7),19,1,0,0.40,0.39,9,9,2,-0.90,,0,2,30%(9/30),0,80%(191/238),72%(81/113),,2,2,1,1,60%(3/5),13,3,10,0.18,1.10,1
