match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
f5mVVVgB,suiza,local,14/17 (82%),Embolo B.Striker,6,1.32,8.3,-,3,8,31
f5mVVVgB,suiza,local,3/3 (100%),Al Fakhouri O.Forward,1,0.20,7.9,-,3,3,7
f5mVVVgB,suiza,local,60/65 (92%),Xhaka G.Midfielder,2,0.85,7.8,-,2,1,72
f5mVVVgB,suiza,local,34/41 (83%),Freuler R.Midfielder,5,-,7.7,-,-,1,48
f5mVVVgB,suiza,local,11/12 (92%),Fassnacht C.Forward,2,0.58,7.6,0/1 (0%),2,3,19
f5mVVVgB,suiza,local,31/34 (91%),Jashari A.Midfielder,-,-,7.6,-,-,-,38
f5mVVVgB,suiza,local,24/28 (86%),Ndoye D.Wingback,2,0.28,7.6,0/2 (0%),2,5,37
f5mVVVgB,suiza,local,42/44 (95%),Aebischer M.Wingback,1,0.43,7.4,-,1,1,52
f5mVVVgB,suiza,local,17/18 (94%),Mvogo Y.Goalkeeper,-,-,7.2,-,-,-,21
f5mVVVgB,suiza,local,10/13 (77%),Tamari M.Striker,10,0.68,7.2,1/2 (50%),3,4,26
f5mVVVgB,suiza,local,66/69 (96%),Akanji M.Centre back,4,0.18,7.1,-,1,1,76
f5mVVVgB,suiza,local,44/46 (96%),Elvedi N.Centre back,4,-,7.1,-,-,-,51
f5mVVVgB,suiza,local,30/31 (97%),Manzambi J.Attacking midfielder,5,0.10,7.0,1/1 (100%),3,2,44
f5mVVVgB,suiza,local,51/56 (91%),Rodriguez R.Defender,5,-,6.9,-,-,-,63
f5mVVVgB,suiza,local,10/12 (83%),Amdouni Z.Forward,4,0.11,6.7,2/2 (100%),2,3,20
f5mVVVgB,suiza,local,41/43 (95%),Jaquez L.Defender,4,-,6.7,-,-,-,48
f5mVVVgB,suiza,local,19/21 (90%),Vargas R.Attacking midfielder,4,-,6.7,1/2 (50%),-,2,36
f5mVVVgB,suiza,local,43/47 (91%),Zakaria D.Centre back,5,-,6.7,-,-,-,53
f5mVVVgB,suiza,local,32/35 (91%),Al Arab Y.Centre back,8,0.15,6.6,1/1 (100%),1,2,50
f5mVVVgB,suiza,local,19/20 (95%),Keller M.Goalkeeper,-,-,6.6,-,-,-,26
