match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
ruc3zsQH,suiza,06.06.2026 19:00,Football / World / Friendly International,Switzerland,Australia,1,1,2,62%,3,1,3,5,13%(1/8),15,0,0,0.79,1.22,5,6,0,0.00,,0,5,53%(9/17),2,93%(323/348),82%(49/60),,6,2,3,0,67%(2/3),9,6,15,1.86,0.00,2,0,64%,0,0,5,2,21%(3/14),21,0,1,0.48,0.20,5,8,1,0.03,,0,1,45%(10/22),2,90%(310/345),78%(81/104),,3,3,0,0,100%(5/5),12,3,16,0.00,1.03,1,0,38%,0,0,14,1,50%(1/2),18,0,0,0.08,0.11,6,5,2,0.86,,0,4,38%(5/13),0,86%(187/218),60%(9/15),,2,2,0,0,80%(4/5),6,2,3,0.00,1.86,1,0,36%,1,0,14,1,0%(0/3),16,0,0,0.37,0.92,8,5,0,0.00,,1,7,52%(12/23),0,84%(167/200),57%(13/23),,1,0,2,1,60%(3/5),8,2,2,1.03,0.00,1
f5mVVVgB,suiza,31.05.2026 13:00,Football / World / Friendly International,Switzerland,Jordan,4,1,1,74%,3,1,5,4,30%(3/10),19,0,1,1.07,2.27,5,6,1,0.28,,1,1,86%(24/28),3,92%(355/386),82%(97/119),,6,4,5,4,86%(6/7),11,10,19,2.00,0.28,,1,64%,3,0,6,2,0%(0/7),16,0,0,0.76,1.70,5,5,2,-0.03,,0,4,54%(13/24),0,92%(289/313),86%(32/37),,8,4,5,1,67%(4/6),2,9,10,1.19,0.97,,0,26%,2,0,12,0,33%(1/3),17,0,0,0.28,0.67,6,5,2,-1.00,,0,8,28%(7/25),0,73%(98/134),50%(14/28),,2,2,1,1,50%(3/6),8,3,6,0.28,2.00,,0,36%,1,3,9,4,38%(3/8),10,1,1,0.72,0.72,5,5,4,0.19,,0,4,38%(5/13),1,86%(148/173),77%(33/43),,6,3,3,3,67%(2/3),4,9,12,0.97,1.19,
GA50LvEl,suiza,31.03.2026 16:00,Football / World / Friendly International,Norway,Switzerland,0,0,1,33%,1,2,15,2,0%(0/5),17,0,0,0.34,0.10,4,3,1,0.08,,0,6,36%(8/22),1,83%(135/162),70%(14/20),,1,0,0,1,75%(6/8),14,2,7,0.00,0.08,,1,55%,1,0,10,2,25%(1/4),17,0,0,1.43,0.41,1,5,0,0.00,,0,2,70%(14/20),1,87%(217/250),78%(32/41),,2,2,1,1,57%(4/7),14,3,10,0.02,0.00,,0,67%,1,1,9,1,0%(0/4),24,0,1,0.53,0.60,3,4,0,0.00,,0,3,55%(17/31),0,87%(294/337),75%(66/88),,2,4,1,4,60%(9/15),14,6,7,0.08,0.00,,1,45%,0,2,5,1,25%(1/4),19,0,0,0.18,0.14,5,1,1,0.02,,0,3,53%(10/19),1,84%(165/196),82%(37/45),,2,2,0,2,60%(9/15),6,4,13,0.00,0.02,
xMB436h3,suiza,27.03.2026 19:45,Football / World / Friendly International,Switzerland,Germany,3,4,0,48%,2,0,18,0,50%(2/4),21,0,0,0.54,0.49,4,6,2,-0.86,1,1,7,47%(18/38),0,85%(231/271),77%(33/43),,2,1,2,1,60%(3/5),7,3,6,0.49,1.14,,0,44%,0,2,13,0,17%(1/6),27,0,0,0.08,0.10,2,6,3,-0.08,,0,6,32%(7/22),0,85%(204/240),65%(24/37),,1,1,1,3,58%(7/12),7,4,7,0.56,1.92,,0,52%,5,2,8,4,15%(2/13),18,0,0,0.74,1.35,6,4,0,-1.51,1,0,2,47%(8/17),1,88%(252/288),79%(81/103),,8,3,4,1,67%(6/9),8,9,19,1.14,0.49,,0,56%,3,5,11,6,18%(2/11),27,0,0,1.07,1.28,6,2,0,-0.44,,0,3,53%(10/19),0,89%(269/301),86%(85/99),,9,3,5,4,69%(11/16),10,13,21,1.92,0.56,
4IfDhne3,suiza,18.11.2025 19:45,Football / Europe / World Championship - Qualification,Kosovo,Switzerland,1,1,0,47%,0,1,5,1,13%(1/8),18,0,0,0.12,0.11,4,6,1,0.17,,0,3,63%(12/19),0,87%(194/223),73%(29/40),,1,1,1,2,75%(6/8),13,3,2,0.03,0.17,1,1,47%,1,3,4,2,20%(3/15),23,0,0,0.69,0.49,5,3,1,-0.51,,0,7,58%(11/19),1,89%(204/228),88%(79/90),,4,2,3,4,56%(5/9),11,8,16,0.54,0.49,1,1,53%,1,0,6,0,33%(1/3),17,0,0,0.37,0.38,6,4,1,0.03,,0,2,55%(11/20),1,88%(228/258),81%(65/80),,2,1,1,0,78%(7/9),13,2,6,0.17,0.03,0,1,53%,2,1,10,1,20%(1/5),16,1,0,0.22,0.54,3,5,2,-0.46,,0,4,38%(9/24),0,86%(230/268),72%(28/39),,3,1,2,1,60%(3/5),6,4,7,0.49,0.54,0
rRb5PmRG,suiza,15.11.2025 19:45,Football / Europe / World Championship - Qualification,Switzerland,Sweden,4,1,0,58%,0,0,3,2,27%(3/11),15,0,0,0.32,0.26,9,4,1,-0.52,,0,2,48%(15/31),0,89%(246/276),82%(63/77),,4,2,2,0,33%(2/6),8,4,4,0.75,0.48,1,0,59%,2,0,5,2,0%(0/9),23,0,1,0.31,1.45,4,14,1,0.39,,0,1,54%(14/26),0,90%(230/255),76%(34/45),,5,0,5,0,75%(3/4),10,5,15,1.97,0.39,0,0,42%,1,0,10,1,40%(2/5),23,0,0,0.21,0.61,4,9,1,-0.25,,0,4,54%(15/28),0,82%(166/203),56%(19/34),,4,2,2,0,60%(3/5),8,4,6,0.48,0.75,1,0,41%,0,0,15,2,0%(0/4),19,0,1,0.10,0.04,14,4,2,-1.03,,0,2,80%(8/10),1,88%(154/175),77%(27/35),,1,1,1,1,50%(4/8),5,2,3,0.39,1.97,3
lACQUr3d,suiza,13.10.2025 18:45,Football / Europe / World Championship - Qualification,Slovenia,Switzerland,0,0,0,33%,0,0,16,1,0%(0/7),14,0,0,0.06,0.03,5,1,0,0.00,,0,6,44%(7/16),1,83%(131/157),63%(17/27),,0,1,0,1,43%(3/7),10,1,2,0.00,0.00,,0,36%,0,2,16,2,0%(0/4),19,0,0,0.25,0.38,5,4,3,0.38,,0,4,32%(8/25),0,76%(134/177),65%(30/46),,3,1,0,0,56%(5/9),6,3,12,0.00,0.38,1,0,67%,0,3,11,2,13%(2/16),16,0,0,0.28,0.33,1,5,0,0.00,,0,1,54%(7/13),1,91%(296/326),81%(86/106),,4,1,0,0,33%(2/6),10,4,10,0.00,0.00,,0,64%,1,2,16,2,20%(2/10),31,0,0,0.45,0.30,4,5,1,0.00,,0,6,32%(6/19),1,90%(278/309),85%(88/104),,4,2,3,3,55%(6/11),7,7,13,0.38,0.00,0
GdEIW4Yq,suiza,10.10.2025 18:45,Football / Europe / World Championship - Qualification,Sweden,Switzerland,0,2,1,35%,2,1,13,1,29%(2/7),24,0,1,1.00,0.51,5,4,2,0.23,,1,10,39%(11/28),1,76%(125/164),59%(26/44),,2,3,0,2,62%(8/13),7,4,8,0.00,0.23,,0,46%,1,0,10,3,25%(1/4),27,0,0,0.31,0.40,8,6,2,-0.75,,0,7,39%(9/23),0,81%(171/211),67%(31/46),,3,3,0,0,25%(1/4),10,3,9,0.00,1.25,1,0,65%,1,2,11,6,25%(3/12),19,0,0,0.59,0.53,4,5,0,0.00,,1,5,59%(19/32),1,85%(261/306),81%(82/101),,3,3,3,5,33%(1/3),11,8,7,0.23,0.00,,0,54%,3,2,5,3,22%(2/9),39,0,0,0.91,1.61,6,8,0,0.00,,0,6,38%(8/21),0,84%(207/246),83%(72/87),,6,2,5,3,65%(13/20),15,9,15,1.25,0.00,1
GvcDNReT,suiza,08.09.2025 18:45,Football / Europe / World Championship - Qualification,Switzerland,Slovenia,3,0,0,64%,3,1,5,4,43%(3/7),18,0,0,1.08,0.90,5,7,0,0.00,2,0,3,52%(13/25),1,88%(271/309),74%(61/82),,5,3,5,4,50%(1/2),9,9,12,2.64,0.00,,0,66%,0,1,4,1,20%(1/5),20,0,0,0.12,0.10,5,8,1,0.47,,0,3,67%(14/21),1,91%(329/360),71%(39/55),,2,1,1,1,67%(4/6),6,3,6,0.03,0.47,0,0,36%,0,1,12,0,25%(1/4),19,0,0,0.25,0.10,7,5,2,-0.36,0,0,2,50%(16/32),0,79%(135/171),59%(23/39),,2,2,0,1,75%(3/4),7,3,4,0.00,2.64,,0,34%,0,1,9,2,17%(1/6),13,0,1,0.12,0.09,8,5,1,0.03,,0,6,41%(11/27),0,84%(153/183),61%(19/31),,1,1,1,2,100%(3/3),7,3,1,0.47,0.03,2
zPwpI5Jj,suiza,05.09.2025 18:45,Football / Europe / World Championship - Qualification,Switzerland,Kosovo,4,0,1,61%,5,2,5,3,56%(5/9),25,0,0,1.76,1.56,1,5,0,0.00,1,0,4,44%(11/25),0,86%(252/293),73%(52/71),,8,2,5,1,75%(6/8),9,9,18,2.58,0.00,,1,64%,0,0,7,0,0%(0/2),20,0,0,0.36,0.02,10,5,1,0.06,,0,3,45%(9/20),2,90%(300/333),77%(55/71),,0,1,0,1,75%(3/4),8,1,8,0.00,0.06,2,0,39%,0,2,11,2,43%(3/7),16,0,1,0.43,0.20,5,1,1,-1.42,0,0,5,45%(10/22),1,79%(144/183),69%(24/35),,1,0,0,1,63%(5/8),9,2,6,0.00,2.58,,0,36%,0,3,3,2,50%(3/6),24,0,0,0.47,0.32,5,10,0,0.00,,0,5,48%(13/27),0,83%(149/180),63%(30/48),,4,1,1,1,75%(6/8),8,5,10,0.06,0.00,0
