match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
4nYE6kxR,tunez,local,35/40 (88%),Doku J.Winger,19,0.03,9.4,5/10 (50%),1,17,67
4nYE6kxR,tunez,local,56/68 (82%),De Bruyne K.Attacking midfielder,7,0.30,8.7,1/3 (33%),4,6,86
4nYE6kxR,tunez,local,27/40 (68%),Trossard L.Winger,4,1.04,8.7,1/2 (50%),4,11,54
4nYE6kxR,tunez,local,46/52 (88%),Tielemans Y.Midfielder,7,0.15,8.2,-,2,1,66
4nYE6kxR,tunez,local,11/14 (79%),De Ketelaere C.Striker,9,0.22,8.0,1/2 (50%),2,8,29
4nYE6kxR,tunez,local,15/24 (63%),Arous A.Fullback,7,-,7.9,-,-,1,53
4nYE6kxR,tunez,local,33/37 (89%),Castagne T.Fullback,13,-,7.8,2/2 (100%),-,5,56
4nYE6kxR,tunez,local,10/11 (91%),Lukebakio D.Forward,2,0.59,7.6,1/1 (100%),3,4,19
4nYE6kxR,tunez,local,4/4 (100%),Lukaku R.Forward,1,0.12,7.4,-,1,2,7
4nYE6kxR,tunez,local,60/66 (91%),Ngoy N.Centre back,6,0.16,7.3,1/2 (50%),2,1,77
4nYE6kxR,tunez,local,16/17 (94%),Courtois T.Goalkeeper,-,-,6.9,-,-,-,23
4nYE6kxR,tunez,local,62/65 (95%),Mechele B.Centre back,5,1.13,6.9,-,3,4,72
4nYE6kxR,tunez,local,35/36 (97%),Onana A.Midfielder,5,0.08,6.9,1/1 (100%),1,2,46
4nYE6kxR,tunez,local,22/26 (85%),Vanaken H.Midfielder,2,-,6.9,1/2 (50%),-,5,31
4nYE6kxR,tunez,local,6/9 (67%),Fernandez-Pardo M.Forward,2,0.10,6.7,2/2 (100%),1,8,13
4nYE6kxR,tunez,local,33/40 (83%),Meunier T.Fullback,9,0.04,6.6,-,1,4,53
4nYE6kxR,tunez,local,37/41 (90%),Rekik O.Centre back,4,0.13,6.6,-,2,3,56
4nYE6kxR,tunez,local,25/29 (86%),Skhiri E.Midfielder,8,-,6.6,-,-,-,42
4nYE6kxR,tunez,local,9/10 (90%),De Cuyper M.Defender,1,-,6.4,-,-,1,15
4nYE6kxR,tunez,local,32/39 (82%),Talbi M.Centre back,7,0.02,6.4,-,1,1,53
4nYE6kxR,tunez,local,13/13 (100%),Witsel A.Midfielder,2,-,6.4,-,-,-,15
4nYE6kxR,tunez,local,-,Elloumi R.Forward,-,-,6.3,-,-,-,1
4nYE6kxR,tunez,local,8/10 (80%),Ben Ouanes M.Midfielder,1,-,6.2,-,-,-,18
4nYE6kxR,tunez,local,6/6 (100%),Slimane A.Midfielder,3,-,6.2,0/1 (0%),-,-,12
4nYE6kxR,tunez,local,14/15 (93%),Achouri E.Winger,10,0.03,6.1,1/1 (100%),1,4,29
4nYE6kxR,tunez,local,7/8 (88%),Ayari K.Winger,15,-,6.1,2/3 (67%),-,-,20
4nYE6kxR,tunez,local,17/24 (71%),Ben Hamida M.Fullback,4,-,6.1,0/1 (0%),-,-,42
4nYE6kxR,tunez,local,11/13 (85%),Tounekti S.Forward,5,-,6.1,0/3 (0%),-,1,21
4nYE6kxR,tunez,local,18/41 (44%),Chamakh A.Goalkeeper,1,-,5.9,-,-,-,52
4nYE6kxR,tunez,local,4/5 (80%),Mastouri H.Striker,7,-,5.8,-,-,1,8
4nYE6kxR,tunez,local,9/12 (75%),Chaouat F.Forward,7,-,5.6,0/1 (0%),-,-,17
4nYE6kxR,tunez,local,17/18 (94%),Belhadj M.Midfielder,9,0.02,5.1,0/2 (0%),1,-,34
4nYE6kxR,tunez,local,16/19 (84%),Gharbi I.Attacking midfielder,7,0.05,4.6,0/1 (0%),2,1,24
4nYE6kxR,tunez,local,5/9 (56%),Moreira D.Midfielder,1,0.05,-,-,1,1,13
4nYE6kxR,tunez,local,11/12 (92%),Raskin N.Midfielder,-,0.07,-,-,1,1,13
C2OQdZsn,tunez,local,32/38 (84%),Sabitzer M.Winger,7,0.30,8.2,0/1 (0%),3,3,61
C2OQdZsn,tunez,local,49/52 (94%),Rekik O.Centre back,11,-,7.5,-,-,1,62
C2OQdZsn,tunez,local,35/41 (85%),Schlager A.Goalkeeper,-,-,7.5,-,-,-,49
C2OQdZsn,tunez,local,48/50 (96%),Alaba D.Centre back,4,-,7.4,1/1 (100%),-,-,56
C2OQdZsn,tunez,local,18/20 (90%),Mejbri H.Attacking midfielder,10,0.10,7.1,1/2 (50%),3,2,37
C2OQdZsn,tunez,local,8/11 (73%),Chamakh A.Goalkeeper,-,-,6.9,-,-,-,16
C2OQdZsn,tunez,local,25/29 (86%),Posch S.Fullback,15,0.87,6.9,1/3 (33%),1,4,57
C2OQdZsn,tunez,local,22/23 (96%),Schlager X.Midfielder,8,-,6.9,0/1 (0%),-,-,38
C2OQdZsn,tunez,local,9/12 (75%),Kalajdzic S.Forward,14,0.09,6.8,1/1 (100%),1,1,27
C2OQdZsn,tunez,local,52/57 (91%),Lienhart P.Centre back,4,-,6.8,-,-,-,65
C2OQdZsn,tunez,local,24/27 (89%),Friedl M.Defender,2,0.18,6.7,-,2,1,33
C2OQdZsn,tunez,local,20/21 (95%),Schmid R.Winger,7,0.04,6.7,1/2 (50%),1,1,30
C2OQdZsn,tunez,local,20/23 (87%),Valery Y.Fullback,12,-,6.7,-,-,-,50
C2OQdZsn,tunez,local,7/7 (100%),Wanner P.Midfielder,2,0.09,6.7,-,1,-,14
C2OQdZsn,tunez,local,5/9 (56%),Arnautovic M.Striker,4,-,6.6,-,-,5,14
C2OQdZsn,tunez,local,29/32 (91%),Danso K.Defender,3,-,6.6,-,-,1,38
C2OQdZsn,tunez,local,11/12 (92%),Chukwuemeka C.Midfielder,4,-,6.5,1/1 (100%),-,1,16
C2OQdZsn,tunez,local,17/21 (81%),Gharbi I.Winger,9,0.13,6.5,1/3 (33%),3,3,41
C2OQdZsn,tunez,local,7/8 (88%),Mwene P.Defender,1,-,6.5,-,-,-,11
C2OQdZsn,tunez,local,15/18 (83%),Tounekti S.Forward,6,-,6.5,2/2 (100%),-,4,26
C2OQdZsn,tunez,local,34/42 (81%),Abdi A.Fullback,12,0.11,6.4,0/1 (0%),2,2,67
C2OQdZsn,tunez,local,6/7 (86%),Ayari K.Forward,4,0.03,6.4,0/3 (0%),1,1,18
C2OQdZsn,tunez,local,9/9 (100%),Belhadj M.Midfielder,-,-,6.4,-,-,1,10
C2OQdZsn,tunez,local,9/11 (82%),Gregoritsch M.Attacking midfielder,4,-,6.3,0/1 (0%),-,1,15
C2OQdZsn,tunez,local,56/60 (93%),Seiwald N.Midfielder,3,-,6.3,-,-,-,65
C2OQdZsn,tunez,local,6/8 (75%),Chaouat F.Striker,4,0.45,6.2,-,2,4,19
C2OQdZsn,tunez,local,3/4 (75%),Elloumi R.Forward,1,-,6.2,-,-,1,6
C2OQdZsn,tunez,local,39/43 (91%),Talbi M.Centre back,4,0.17,5.9,-,1,1,51
C2OQdZsn,tunez,local,12/14 (86%),Khedira R.Midfielder,2,-,5.8,-,-,2,18
C2OQdZsn,tunez,local,12/17 (71%),Slimane A.Winger,2,0.04,5.8,-,1,1,22
C2OQdZsn,tunez,local,30/34 (88%),Skhiri E.Midfielder,8,-,5.6,2/2 (100%),-,1,42
C2OQdZsn,tunez,local,21/25 (84%),Laimer K.Fullback,3,-,4.9,2/2 (100%),-,4,31
C2OQdZsn,tunez,local,2/3 (67%),Prass A.Midfielder,2,-,-,-,-,-,6
C2OQdZsn,tunez,local,4/4 (100%),Saad E.Forward,2,0.05,-,-,1,-,7
jilu6sfL,tunez,local,21/23 (91%),Saad E.Forward,6,0.04,7.5,3/5 (60%),1,-,34
jilu6sfL,tunez,local,18/20 (90%),Sinayoko L.Striker,13,0.89,7.4,0/2 (0%),2,4,43
jilu6sfL,tunez,local,10/33 (30%),Diarra D.Goalkeeper,1,-,7.3,-,-,-,43
jilu6sfL,tunez,local,19/27 (70%),Bissouma Y.Attacking midfielder,16,-,7.2,3/3 (100%),-,-,52
jilu6sfL,tunez,local,8/21 (38%),Dante A.Fullback,14,0.05,7.1,1/1 (100%),1,-,52
jilu6sfL,tunez,local,9/18 (50%),Diaby A.Centre back,7,-,7.1,-,-,-,32
jilu6sfL,tunez,local,2/6 (33%),Diakite G.Midfielder,8,-,7.1,2/3 (67%),-,-,19
jilu6sfL,tunez,local,16/20 (80%),Dieng A.Midfielder,14,-,7.0,-,-,-,34
jilu6sfL,tunez,local,5/14 (36%),Coulibaly L.Midfielder,16,-,6.9,1/1 (100%),-,-,37
jilu6sfL,tunez,local,18/23 (78%),Mejbri H.Winger,11,0.05,6.9,1/1 (100%),2,1,53
jilu6sfL,tunez,local,15/21 (71%),Sangare M.Winger,12,0.03,6.9,2/5 (40%),1,1,43
jilu6sfL,tunez,local,70/77 (91%),Skhiri E.Midfielder,6,0.07,6.8,-,2,1,90
jilu6sfL,tunez,local,2/4 (50%),Toure E. B.Forward,6,-,6.8,0/1 (0%),-,-,14
jilu6sfL,tunez,local,11/19 (58%),Camara O.Centre back,3,0.03,6.7,-,1,1,30
jilu6sfL,tunez,local,68/82 (83%),Talbi M.Centre back,4,0.16,6.7,-,1,3,95
jilu6sfL,tunez,local,3/6 (50%),Chaouat F.Forward,7,0.58,6.5,-,1,1,13
jilu6sfL,tunez,local,6/6 (100%),Doumbia M.Winger,6,0.04,6.5,1/1 (100%),1,1,18
jilu6sfL,tunez,local,12/19 (63%),Nene D.Midfielder,6,0.06,6.5,1/2 (50%),1,2,34
jilu6sfL,tunez,local,76/86 (88%),Sassi F.Midfielder,13,-,6.5,0/1 (0%),-,2,96
jilu6sfL,tunez,local,42/54 (78%),Abdi A.Fullback,24,0.14,6.3,1/4 (25%),3,5,112
jilu6sfL,tunez,local,2/3 (67%),Sissoko I.Midfielder,1,0.06,6.2,-,1,1,4
jilu6sfL,tunez,local,42/47 (89%),Valery Y.Fullback,13,-,6.2,3/4 (75%),-,-,78
jilu6sfL,tunez,local,22/25 (88%),Gharbi I.Winger,9,0.06,6.1,0/2 (0%),2,3,40
jilu6sfL,tunez,local,23/27 (85%),Achouri E.Forward,8,-,6.0,1/2 (50%),-,2,36
jilu6sfL,tunez,local,13/17 (76%),Ben Romdhane M.Midfielder,9,-,6.0,1/3 (33%),-,2,30
jilu6sfL,tunez,local,22/23 (96%),Dahmen A.Goalkeeper,-,-,6.0,-,-,-,28
