match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
4nYE6kxR,tunez,06.06.2026 13:00,Football / World / Friendly International,Belgium,Tunisia,5,0,,0,64%,3,2,5,9,29%(4/14),31,0,0,2.28,2.33,5,6,0,0.00,,0,7,68%(13/19),0,88%(234/267),80%(89/111),,7,4,5,4,82%(9/11),6,11,28,1.80,0.00,,1,68%,2,7,3,5,30%(3/10),27,0,0,1.66,1.53,4,3,1,0.04,1,0,3,72%(13/18),2,86%(260/302),80%(125/157),0,13,2,7,3,75%(6/8),7,16,53,2.75,0.04,1,0,36%,0,2,12,0,33%(1/3),21,0,0,0.12,0.22,6,5,3,0.80,,0,5,39%(11/28),0,78%(123/157),52%(17/33),,3,2,0,1,78%(7/9),9,4,8,0.00,1.80,,0,32%,0,0,19,0,0%(0/2),16,0,0,0.11,0.07,3,4,2,-1.25,0,1,4,30%(10/33),3,77%(113/147),72%(21/29),1,1,2,1,2,38%(3/8),6,3,4,0.04,2.75,2
C2OQdZsn,tunez,01.06.2026 18:45,Football / World / Friendly International,Austria,Tunisia,1,0,,0,68%,0,0,11,1,17%(2/12),19,0,0,0.36,0.13,4,3,1,0.66,,0,2,55%(12/22),0,90%(253/282),73%(52/71),1,1,1,1,1,83%(5/6),13,2,14,0.20,0.66,,0,49%,2,0,10,1,67%(2/3),27,0,0,0.16,1.20,8,9,1,0.05,,2,1,59%(13/22),1,88%(161/183),63%(17/27),,5,4,3,2,78%(7/9),5,7,8,0.91,0.05,2,0,32%,2,2,20,2,50%(2/4),20,0,0,0.30,0.80,3,4,1,0.20,,3,2,41%(9/22),1,80%(109/137),56%(19/34),0,6,6,1,3,71%(5/7),12,9,12,0.66,0.20,,0,51%,0,1,4,2,29%(2/7),21,0,0,0.24,0.21,9,8,2,-0.09,,0,1,60%(9/15),1,91%(173/190),81%(48/59),,1,3,1,4,67%(2/3),8,5,12,0.05,0.91,1
d8eXienf,tunez,31.03.2026 23:30,Football / World / Friendly International,Canada,Tunisia,0,0,,0,61%,0,1,5,5,33%(5/15),20,0,0,0.81,0.62,5,6,1,0.40,,0,1,57%(8/14),0,87%(221/255),79%(63/80),,8,4,4,1,83%(5/6),10,9,18,0.49,0.40,1,0,54%,0,1,1,4,8%(1/12),26,0,0,0.37,0.26,11,8,0,0.00,,0,3,43%(6/14),0,85%(183/216),72%(59/82),,1,2,2,4,67%(6/9),13,5,20,0.11,0.00,3,0,39%,1,1,15,1,0%(0/3),17,0,0,0.26,0.25,6,5,4,0.49,,0,5,33%(8/24),0,79%(131/166),50%(14/28),,1,1,2,2,80%(4/5),10,4,2,0.40,0.49,1,0,46%,0,0,15,0,50%(1/2),27,0,0,0.07,0.04,8,11,2,0.11,,0,5,63%(15/24),0,84%(157/186),56%(15/27),,1,1,0,0,70%(7/10),6,1,5,0.00,0.11,1
WQ9F4YVa,tunez,29.03.2026 00:00,Football / World / Friendly International,Haiti,Tunisia,0,1,,,49%,,,,5,,,,,,,,,,,,,,,,,,,,2,0,,,,2,,,,1,,53%,,,,2,,,,,,,,,,,,,,,,,,1,,5,2,,,,7,,,,2,,51%,,,,3,,,,,,,,,,,,,,,,,,,,3,1,,,,4,,,,0,,47%,,,,0,,,,,,,,,,,,,,,,,,0,,1,2,,,,3,,,,2
jilu6sfL,tunez,03.01.2026 19:00,Football / Africa / Africa Cup of Nations - Play Offs - 1/8-finals,Mali,Tunisia,1,1,,0,31%,0,1,11,4,11%(1/9),28,0,1,0.06,0.09,7,11,0,0.00,,0,4,25%(5/20),0,62%(54/87),46%(11/24),1,3,2,0,0,100%(9/9),11,3,4,0.00,0.00,2,0,29%,1,0,16,0,0%(0/5),28,0,0,0.06,0.90,3,13,2,0.19,0,0,6,27%(9/33),1,53%(51/97),46%(11/24),,1,2,1,2,29%(2/7),7,3,5,0.83,1.19,0,0,69%,0,1,11,2,21%(3/14),15,0,0,0.37,0.24,11,7,0,0.00,,0,2,54%(7/13),1,89%(179/202),74%(34/46),0,2,3,0,2,67%(2/3),13,4,4,0.00,0.00,2,1,71%,1,1,8,7,0%(0/15),22,0,0,0.54,0.71,13,3,0,-0.17,1,0,2,55%(11/20),2,87%(206/238),81%(60/74),,2,1,3,3,50%(4/8),6,5,12,1.19,0.83,3
MJ0y6sRk,tunez,30.12.2025 16:00,Football / Africa / Africa Cup of Nations - Round 3,Tanzania,Tunisia,1,1,,0,40%,0,0,12,1,0%(0/3),28,0,1,0.04,0.03,3,9,0,-0.22,,0,2,39%(11/28),0,71%(105/148),46%(19/41),,0,1,1,2,67%(8/12),11,2,0,0.14,0.78,1,0,33%,0,0,13,1,67%(2/3),19,0,0,0.14,0.15,6,5,1,0.39,,0,7,32%(11/34),1,71%(101/142),65%(15/23),,3,3,1,1,50%(4/8),12,4,3,0.06,0.39,2,0,60%,1,0,15,0,17%(1/6),30,0,0,0.15,0.89,9,3,1,0.14,,1,1,57%(13/23),0,86%(186/217),70%(32/46),,3,3,1,1,44%(4/9),10,4,11,0.78,0.14,1,0,67%,0,1,1,2,44%(4/9),31,1,0,0.44,0.11,5,6,0,-0.94,,0,4,33%(6/18),0,82%(241/294),61%(38/62),,1,0,1,1,33%(3/9),17,2,5,0.39,0.06,0
zNSmFo43,tunez,27.12.2025 20:00,Football / Africa / Africa Cup of Nations - Round 2,Nigeria,Tunisia,3,2,,0,70%,3,1,7,2,40%(8/20),25,0,0,1.17,1.22,7,8,0,0.00,1,0,3,64%(14/22),1,90%(248/275),77%(44/57),,6,7,2,4,83%(5/6),13,10,14,0.89,0.00,1,1,48%,2,2,16,2,43%(3/7),25,0,0,0.66,0.90,11,7,0,-0.49,1,0,5,29%(7/24),0,86%(142/166),67%(33/49),,4,0,3,1,,2,5,12,0.82,1.51,2,1,30%,0,0,12,3,50%(2/4),21,0,0,0.58,0.03,8,7,1,-0.11,0,0,5,42%(11/26),0,71%(87/123),58%(14/24),,1,2,0,1,83%(5/6),5,2,9,0.00,0.89,0,1,52%,3,1,8,3,27%(4/15),22,0,0,0.79,1.04,7,11,1,-1.18,1,0,0,61%(11/18),1,84%(147/175),81%(50/62),,4,3,2,2,,15,6,14,1.51,0.82,0
rTu2irCd,tunez,23.12.2025 20:00,Football / Africa / Africa Cup of Nations - Round 1,Tunisia,Uganda,3,1,,0,46%,1,1,12,3,22%(2/9),23,0,0,0.36,0.56,4,7,0,0.00,1,0,7,54%(14/26),0,80%(164/206),60%(38/63),,5,3,3,2,50%(3/6),15,7,20,1.41,0.00,0,1,52%,2,2,13,5,63%(5/8),24,0,0,0.58,0.87,11,8,0,-0.24,,0,3,47%(7/15),0,83%(180/218),66%(45/68),,7,3,3,1,63%(5/8),11,8,18,1.56,0.76,1,0,54%,0,3,18,1,0%(0/5),27,0,0,0.05,0.33,7,4,1,-0.59,0,0,3,47%(14/30),0,82%(204/248),65%(24/37),,2,1,0,2,67%(8/12),10,4,4,0.00,1.41,1,0,48%,0,0,10,1,17%(1/6),27,0,0,0.08,0.22,8,11,2,0.56,,0,5,32%(7/22),1,80%(159/199),57%(23/40),,2,4,1,3,67%(6/9),10,5,6,0.76,1.56,1
IiijJBiS,tunez,18.12.2025 14:00,Football / World / Friendly International,Tunisia,Botswana,2,1,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1dXtwC4,tunez,07.12.2025 17:00,Football / World / FIFA Arab Cup - Round 3,Qatar,Tunisia,0,3,,0,53%,0,0,6,1,33%(1/3),32,0,0,0.16,0.09,1,10,1,0.89,,0,5,71%(22/31),0,83%(219/264),55%(28/51),,1,1,1,1,36%(4/11),8,2,11,0.03,1.89,0,0,69%,1,3,7,9,40%(6/15),23,0,1,0.44,0.51,3,6,2,-0.47,0,1,3,44%(7/16),0,85%(197/233),74%(57/77),0,8,4,3,2,80%(4/5),8,10,12,0.60,1.53,0,0,47%,2,1,10,2,56%(5/9),17,0,0,0.60,1.30,10,1,1,0.03,,0,2,55%(16/29),1,85%(187/221),69%(33/48),,7,3,3,0,25%(1/4),9,7,11,1.89,0.03,1,0,31%,1,2,14,2,13%(1/8),17,0,0,0.25,1.23,6,3,3,0.60,1,0,6,30%(7/23),2,72%(76/105),70%(21/30),1,4,0,4,2,100%(4/4),11,6,9,1.53,0.60,1
CtTwzF4D,tunez,04.12.2025 14:30,Football / World / FIFA Arab Cup - Round 2,Palestine,Tunisia,2,2,,0,37%,0,0,9,2,30%(3/10),23,0,0,0.12,0.05,7,6,3,1.85,,0,8,39%(7/18),0,76%(103/135),59%(17/29),,2,2,1,1,57%(4/7),12,3,6,0.04,2.85,1,0,50%,0,3,10,1,14%(2/14),29,1,0,0.36,0.39,0,9,2,0.76,,0,9,40%(8/20),0,85%(162/190),69%(36/52),,5,4,2,4,60%(6/10),11,9,14,0.95,1.76,,0,63%,3,0,12,2,50%(2/4),25,0,0,0.40,1.13,6,7,1,0.04,,0,5,40%(8/20),1,86%(214/248),50%(19/38),,4,1,4,1,60%(3/5),9,5,6,2.85,0.04,1,0,50%,2,1,9,3,36%(4/11),26,0,1,0.70,1.29,9,0,0,-1.05,,0,2,48%(12/25),2,75%(140/187),66%(27/41),,5,2,3,1,56%(5/9),11,6,9,1.76,0.95,
CKZbIkwB,tunez,01.12.2025 13:00,Football / World / FIFA Arab Cup - Round 1,Tunisia,Syria,0,1,,0,67%,1,2,7,4,19%(3/16),27,0,0,0.32,0.69,6,8,1,0.04,,0,4,71%(12/17),0,86%(234/272),76%(74/98),,2,6,1,7,64%(7/11),7,9,22,0.03,0.04,0,0,71%,0,0,11,3,30%(8/27),33,0,0,1.02,0.44,6,6,1,-0.18,,0,3,56%(9/16),0,91%(248/274),87%(104/119),,4,4,3,3,78%(7/9),10,7,20,0.70,0.82,2,0,33%,0,0,18,0,0%(0/4),24,0,0,0.03,0.04,8,6,1,0.03,,0,6,25%(6/24),1,71%(98/138),45%(13/29),,0,0,1,1,67%(8/12),9,1,0,0.04,0.03,1,1,29%,0,1,20,3,17%(1/6),31,0,0,0.29,0.35,6,6,3,0.70,,0,3,22%(6/27),0,63%(71/113),61%(30/49),,1,0,2,2,64%(9/14),8,3,7,0.82,0.70,0
WbBoTNBE,tunez,18.11.2025 19:30,Football / World / Friendly International,Brazil,Tunisia,1,1,,0,73%,1,5,9,5,0%(0/11),23,0,0,0.27,1.53,5,7,1,-0.72,,0,3,56%(9/16),1,91%(241/266),72%(42/58),,6,4,3,6,60%(6/10),8,12,10,1.47,0.28,1,0,74%,1,3,1,2,14%(1/7),19,0,0,0.42,1.16,7,8,0,0.00,,1,1,61%(14/23),0,91%(298/329),83%(85/102),,4,6,0,5,50%(2/4),5,9,24,0.00,0.00,,0,27%,1,1,23,1,0%(0/5),16,0,0,0.06,0.38,7,5,2,0.47,,0,4,26%(5/19),0,71%(69/97),55%(11/20),,1,0,2,2,75%(3/4),11,3,3,0.28,1.47,1,0,26%,0,2,11,0,100%(2/2),11,0,0,0.07,0.20,8,7,0,0.00,,0,2,53%(10/19),2,74%(86/116),50%(9/18),,1,2,0,3,20%(1/5),6,4,3,0.00,0.00,
SxTXOFqT,tunez,14.11.2025 16:45,Football / World / Friendly International,Tunisia,Jordan,3,2,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETstDCoA,tunez,12.11.2025 16:45,Football / World / Friendly International,Tunisia,Mauritania,1,1,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AiNV0NGc,tunez,13.10.2025 13:00,Football / Africa / World Championship - Qualification - Round 10,Tunisia,Namibia,3,0,,,52%,,,,2,,,,,,,,10,,,,,,,3,,,,,3,1,,,5,4,,,,0,,58%,,,,3,,,,,,,,8,,,,,,,3,,,,,3,3,,,12,6,,,,1,,48%,,,,3,,,,,,,,11,,,,,,,1,,,,,2,3,,,14,5,,,,2,,42%,,,,3,,,,,,,,11,,,,,,,2,,,,,5,2,,,10,7,,,,2
MZSGqMoN,tunez,10.10.2025 16:00,Football / Africa / World Championship - Qualification - Round 9,Sao Tome and Principe,Tunisia,0,6,,,37%,,,,2,,,,,,,6,11,,,,,,,1,,,,,2,0,,,6,2,,,,1,,31%,,,,1,,,,,,,7,12,,,,,,,0,,,,,0,4,,,11,4,,,,,,63%,,,,5,,,,,,,10,7,,,,,,,1,,,,,1,8,,,5,9,,,,1,,69%,,,,2,,,,,,,10,7,,,,,,,2,,,,,3,4,,,5,7,,,,
zmvsfdo3,tunez,09.09.2025 19:00,Football / World / Friendly International,Egypt,Tunisia,3,0,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
