match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
pzMyVhup,turquia,local,28/30 (93%),Guler A.Attacking midfielder,11,0.07,7.7,3/6 (50%),2,-,51
pzMyVhup,turquia,local,15/18 (83%),Akgun Y.Forward,4,0.07,7.6,1/1 (100%),2,4,26
pzMyVhup,turquia,local,12/16 (75%),Yilmaz B.Winger,10,0.48,7.6,0/2 (0%),4,3,32
pzMyVhup,turquia,local,34/40 (85%),Contreras J.Goalkeeper,1,-,7.2,-,-,-,52
pzMyVhup,turquia,local,35/37 (95%),Bardakci A.Centre back,1,0.14,6.9,-,1,1,40
pzMyVhup,turquia,local,24/29 (83%),Celik Z.Fullback,8,0.11,6.9,0/1 (0%),2,5,41
pzMyVhup,turquia,local,40/43 (93%),Elmali E.Fullback,4,-,6.9,0/1 (0%),-,2,60
pzMyVhup,turquia,local,16/18 (89%),Mendoza G.Winger,14,0.32,6.9,0/3 (0%),4,1,40
pzMyVhup,turquia,local,13/15 (87%),Calhanoglu H.Midfielder,-,-,6.8,-,-,-,23
pzMyVhup,turquia,local,47/54 (87%),Casseres C.Midfielder,11,-,6.8,1/1 (100%),-,-,70
pzMyVhup,turquia,local,11/12 (92%),Ramirez J.Striker,10,0.08,6.8,1/1 (100%),2,1,26
pzMyVhup,turquia,local,53/55 (96%),Kabak O.Centre back,6,-,6.7,1/2 (50%),-,-,60
pzMyVhup,turquia,local,9/10 (90%),Muldur M.Defender,5,0.05,6.7,0/1 (0%),1,1,18
pzMyVhup,turquia,local,20/28 (71%),Cakir U.Goalkeeper,-,-,6.6,-,-,-,36
pzMyVhup,turquia,local,14/16 (88%),Ozcan S.Midfielder,3,-,6.6,1/1 (100%),-,-,19
pzMyVhup,turquia,local,28/34 (82%),Segovia T.Attacking midfielder,4,-,6.6,1/1 (100%),-,1,40
pzMyVhup,turquia,local,9/10 (90%),Uzun C.Midfielder,8,-,6.6,1/2 (50%),-,2,19
pzMyVhup,turquia,local,-,Akturkoglu K.Forward,-,0.39,6.5,-,1,1,3
pzMyVhup,turquia,local,17/18 (94%),Demiral M.Defender,7,0.14,6.5,-,1,1,27
pzMyVhup,turquia,local,25/32 (78%),Herrera Y.Midfielder,11,0.01,6.5,2/2 (100%),1,-,50
pzMyVhup,turquia,local,28/34 (82%),Kokcu O.Midfielder,3,0.03,6.5,-,1,1,49
pzMyVhup,turquia,local,12/14 (86%),Quintero T.Fullback,7,-,6.4,-,-,1,28
pzMyVhup,turquia,local,7/10 (70%),Balbo L.Defender,4,-,6.3,1/1 (100%),-,1,14
pzMyVhup,turquia,local,44/48 (92%),Ferraresi N.Centre back,5,-,6.3,0/1 (0%),-,-,62
pzMyVhup,turquia,local,3/5 (60%),Gul D.Striker,5,0.07,6.3,-,1,4,10
pzMyVhup,turquia,local,13/16 (81%),Kahveci I.Winger,6,-,6.2,0/1 (0%),-,1,24
pzMyVhup,turquia,local,15/17 (88%),Pereira D.Midfielder,1,-,6.2,1/1 (100%),-,-,18
pzMyVhup,turquia,local,21/27 (78%),Martinez D.Winger,5,0.07,6.1,2/2 (100%),2,3,38
pzMyVhup,turquia,local,27/30 (90%),Yuksek I.Midfielder,8,-,6.1,0/2 (0%),-,-,37
pzMyVhup,turquia,local,29/34 (85%),Aramburu J.Fullback,13,-,5.9,-,-,-,50
pzMyVhup,turquia,local,35/38 (92%),Makoun C.Centre back,3,-,5.9,-,-,-,50
pzMyVhup,turquia,local,7/7 (100%),Aydin O.Midfielder,1,-,-,1/1 (100%),-,1,11
pzMyVhup,turquia,local,0/1 (0%),Echenique E.Forward,-,-,-,-,-,1,3
pzMyVhup,turquia,local,3/4 (75%),Graterol J.Goalkeeper,-,-,-,-,-,-,5
pzMyVhup,turquia,local,0/3 (0%),Kelsy K.Forward,-,-,-,-,-,1,3
pzMyVhup,turquia,local,-,Libra M.Midfielder,1,-,-,-,-,-,1
pzMyVhup,turquia,local,-,Tortolero E.Midfielder,-,-,-,-,-,-,2
pzMyVhup,turquia,local,3/3 (100%),Vivas C.Defender,-,-,-,-,-,-,5
EiV5zFHM,turquia,local,36/42 (86%),Uzun C.Winger,7,0.21,8.7,-,2,2,56
EiV5zFHM,turquia,local,40/41 (98%),Celik Z.Defender,9,-,7.8,0/2 (0%),-,3,59
EiV5zFHM,turquia,local,10/16 (63%),Aydin O.Winger,2,0.22,7.7,-,3,5,26
EiV5zFHM,turquia,local,26/32 (81%),Kahveci I.Forward,4,0.18,7.7,-,1,3,40
EiV5zFHM,turquia,local,28/33 (85%),Kokcu O.Midfielder,5,0.18,7.6,-,2,1,43
EiV5zFHM,turquia,local,6/6 (100%),Yilmaz B.Forward,1,0.69,7.5,0/1 (0%),1,3,10
EiV5zFHM,turquia,local,6/9 (67%),Gul D.Striker,6,0.44,7.4,-,2,3,13
EiV5zFHM,turquia,local,11/11 (100%),Elmali E.Fullback,2,-,7.3,-,-,1,20
EiV5zFHM,turquia,local,20/21 (95%),Guler A.Midfielder,3,0.05,7.1,0/1 (0%),2,3,37
EiV5zFHM,turquia,local,31/34 (91%),Muldur M.Fullback,8,0.09,7.0,-,1,3,48
EiV5zFHM,turquia,local,12/13 (92%),Simsir A.Forward,8,0.03,7.0,3/5 (60%),1,1,21
EiV5zFHM,turquia,local,38/41 (93%),Soyuncu C.Centre back,4,-,7.0,-,-,-,46
EiV5zFHM,turquia,local,35/40 (88%),Ayhan K.Defender,-,-,6.9,-,-,1,43
EiV5zFHM,turquia,local,27/32 (84%),Bayindir A.Goalkeeper,-,-,6.8,-,-,-,34
EiV5zFHM,turquia,local,43/52 (83%),Ozcan S.Midfielder,3,-,6.8,-,-,-,59
EiV5zFHM,turquia,local,9/11 (82%),Churlinov D.Forward,7,-,6.7,1/2 (50%),-,1,25
EiV5zFHM,turquia,local,32/33 (97%),Akaydin S.Defender,1,0.04,6.6,-,1,1,37
EiV5zFHM,turquia,local,26/28 (93%),Alioski E.Wingback,9,0.77,6.6,3/4 (75%),1,2,50
EiV5zFHM,turquia,local,15/16 (94%),Tiknaz D. E.Midfielder,2,-,6.6,-,-,-,17
EiV5zFHM,turquia,local,15/17 (88%),Akgun Y.Attacking midfielder,8,0.07,6.5,1/2 (50%),1,2,25
EiV5zFHM,turquia,local,35/40 (88%),Atanasov J.Midfielder,3,0.03,6.5,1/1 (100%),1,-,49
EiV5zFHM,turquia,local,33/35 (94%),Fetai I.Centre back,5,-,6.5,1/2 (50%),-,-,45
EiV5zFHM,turquia,local,10/11 (91%),Miovski B.Striker,5,-,6.5,0/1 (0%),-,-,15
EiV5zFHM,turquia,local,15/16 (94%),Serafimov N.Defender,-,-,6.5,-,-,-,24
EiV5zFHM,turquia,local,15/18 (83%),Emini S.Midfielder,3,-,6.4,-,-,1,27
EiV5zFHM,turquia,local,6/6 (100%),Sengezer M.Goalkeeper,-,-,6.4,-,-,-,8
EiV5zFHM,turquia,local,3/4 (75%),Alomerovic D.Defender,4,-,6.3,-,-,-,12
EiV5zFHM,turquia,local,15/17 (88%),Demiral M.Defender,1,0.45,6.3,-,1,1,20
EiV5zFHM,turquia,local,13/15 (87%),Kabak O.Centre back,5,-,6.3,-,-,-,21
EiV5zFHM,turquia,local,1/2 (50%),Rastoder E.Forward,-,-,6.3,-,-,-,4
EiV5zFHM,turquia,local,18/19 (95%),Zajkov G.Centre back,3,-,6.3,-,-,1,23
EiV5zFHM,turquia,local,-,Dodev D.Forward,3,-,6.2,0/1 (0%),-,-,4
EiV5zFHM,turquia,local,27/28 (96%),Elmas E.Attacking midfielder,8,-,6.2,1/3 (33%),-,-,40
EiV5zFHM,turquia,local,11/14 (79%),Manev J.Defender,2,0.01,6.2,-,1,1,17
EiV5zFHM,turquia,local,3/5 (60%),Nikolov B.Midfielder,1,-,6.2,-,-,-,6
EiV5zFHM,turquia,local,5/8 (63%),Taleski D.Goalkeeper,-,-,6.2,-,-,-,14
EiV5zFHM,turquia,local,26/30 (87%),Velkovski D.Centre back,4,-,6.2,-,-,-,40
EiV5zFHM,turquia,local,14/16 (88%),Despotovski S.Wingback,4,-,6.1,0/1 (0%),-,-,25
EiV5zFHM,turquia,local,24/26 (92%),Elezi A.Midfielder,6,0.02,6.1,-,1,2,38
EiV5zFHM,turquia,local,20/25 (80%),Musliu V.Defender,4,-,6.0,-,-,-,28
EiV5zFHM,turquia,local,4/8 (50%),Ristovski M.Forward,5,0.03,5.8,-,1,1,15
EiV5zFHM,turquia,local,2/3 (67%),Omeragic A.Striker,3,-,5.6,-,-,-,7
EiV5zFHM,turquia,local,13/23 (57%),Dimitrievski S.Goalkeeper,-,-,4.9,-,-,-,36
EiV5zFHM,turquia,local,6/6 (100%),Calhanoglu H.Midfielder,-,0.02,-,-,1,-,7
xlsPC2Il,turquia,local,39/49 (80%),Kokcu O.Midfielder,6,0.22,8.4,0/1 (0%),3,1,70
xlsPC2Il,turquia,local,6/7 (86%),Akturkoglu K.Striker,3,1.18,7.7,0/2 (0%),2,5,17
xlsPC2Il,turquia,local,46/47 (98%),Kabak O.Centre back,6,-,7.6,-,-,-,56
xlsPC2Il,turquia,local,27/38 (71%),Cakir U.Goalkeeper,-,-,7.5,-,-,-,49
xlsPC2Il,turquia,local,44/51 (86%),Yuksek I.Centre back,13,-,7.5,1/1 (100%),-,-,66
xlsPC2Il,turquia,local,35/39 (90%),Yildiz K.Attacking midfielder,10,0.11,7.3,4/6 (67%),3,11,58
xlsPC2Il,turquia,local,30/40 (75%),Celik Z.Wingback,12,-,7.2,0/3 (0%),-,4,68
xlsPC2Il,turquia,local,43/54 (80%),Calhanoglu H.Midfielder,7,0.22,7.0,1/1 (100%),3,1,68
xlsPC2Il,turquia,local,33/49 (67%),Dellova L.Centre back,10,0.03,7.0,-,1,1,68
xlsPC2Il,turquia,local,55/60 (92%),Bardakci A.Centre back,8,-,6.9,-,-,-,74
xlsPC2Il,turquia,local,41/52 (79%),Hajrizi K.Centre back,9,0.02,6.9,-,1,2,70
xlsPC2Il,turquia,local,46/49 (94%),Guler A.Attacking midfielder,8,0.03,6.7,1/3 (33%),1,1,73
xlsPC2Il,turquia,local,47/58 (81%),Kadioglu F.Wingback,1,-,6.6,-,-,-,71
xlsPC2Il,turquia,local,21/35 (60%),Muric A.Goalkeeper,-,-,6.5,-,-,-,40
xlsPC2Il,turquia,local,34/41 (83%),Muslija F.Attacking midfielder,13,0.03,6.5,3/5 (60%),1,1,67
xlsPC2Il,turquia,local,5/6 (83%),Zhegrova E.Forward,4,0.02,6.5,2/3 (67%),1,-,15
xlsPC2Il,turquia,local,17/26 (65%),Asllani F.Attacking midfielder,10,0.17,6.4,2/2 (100%),3,6,45
xlsPC2Il,turquia,local,12/18 (67%),Vojvoda M.Wingback,4,0.03,6.2,1/1 (100%),1,2,34
xlsPC2Il,turquia,local,29/38 (76%),Gallapeni D.Wingback,14,-,6.0,0/3 (0%),-,1,67
xlsPC2Il,turquia,local,19/25 (76%),Hajdari A.Centre back,1,-,6.0,-,-,-,35
