match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
pzMyVhup,turquia,06.06.2026 22:00,Football / World / Friendly International,Venezuela,Turkey,1,2,0,43%,1,1,25,0,0%(0/1),27,0,0,0.25,0.33,8,7,3,0.88,,0,2,74%(14/19),2,88%(162/184),70%(16/23),2,2,2,3,82%(9/11),5,5,4,0.65,1.88,,0,52%,0,1,9,2,0%(0/3),24,0,0,0.06,0.10,8,5,3,0.15,,0,3,57%(16/28),5,82%(168/205),52%(22/42),,0,3,0,4,63%(5/8),8,4,6,0.00,1.15,2,0,57%,1,2,3,7,9%(1/11),17,0,1,0.22,0.73,7,8,1,-0.35,,1,1,62%(8/13),0,91%(216/237),68%(32/47),5,2,4,3,60%(3/5),7,8,12,1.88,0.65,,0,48%,2,1,8,5,33%(3/9),22,0,0,0.43,0.79,5,8,0,0.00,,0,9,32%(6/19),2,84%(151/180),66%(31/47),,5,3,4,3,75%(3/4),6,8,15,1.15,0.00,1
EiV5zFHM,turquia,01.06.2026 17:30,Football / World / Friendly International,Turkey,North Macedonia,4,0,0,51%,1,2,8,3,17%(2/12),22,0,1,0.29,0.89,9,8,1,0.32,,1,4,48%(10/21),1,85%(197/232),75%(56/75),6,4,3,3,89%(8/9),4,9,12,0.60,0.32,0,0,68%,3,3,4,10,17%(3/18),16,0,0,1.32,1.78,5,4,1,0.05,1,0,6,64%(14/22),0,91%(274/301),85%(94/111),,6,3,4,4,80%(4/5),5,10,21,1.70,0.05,,0,49%,1,1,15,1,20%(1/5),24,0,0,0.17,0.83,8,9,1,-1.40,,0,6,57%(16/28),1,87%(195/223),68%(30/44),1,1,1,2,33%(1/3),10,3,5,0.32,0.60,1,0,32%,0,0,17,0,0%(0/2),17,0,0,0.07,0.04,4,5,2,-0.30,0,0,5,45%(9/20),0,81%(119/147),54%(13/24),,1,1,1,1,75%(6/8),4,2,4,0.05,1.70,
xlsPC2Il,turquia,31.03.2026 18:45,Football / Europe / World Championship - Qualification - Promotion - Final,Kosovo,Turkey,0,1,0,33%,1,2,7,1,0%(0/2),19,0,0,0.13,0.65,4,5,0,0.00,,1,4,30%(9/30),1,70%(106/151),54%(21/39),4,2,1,1,45%(5/11),15,5,9,0.22,0.00,1,0,54%,0,2,5,2,31%(4/13),26,0,1,0.18,0.23,8,5,1,0.17,,0,5,55%(18/33),0,75%(163/218),58%(42/72),,1,3,1,5,50%(3/6),16,6,11,0.58,1.17,2,0,67%,0,4,9,1,0%(0/6),18,0,0,0.73,0.50,5,4,1,0.22,,0,5,23%(5/22),2,88%(269/306),72%(47/65),3,2,0,3,60%(3/5),7,6,13,0.00,0.22,1,0,46%,1,2,23,1,0%(0/4),29,0,1,0.22,1.27,5,8,1,0.58,,0,6,43%(12/28),0,78%(154/197),63%(41/65),,4,1,3,2,90%(9/10),6,6,10,1.17,0.58,4
2qgnUDXp,turquia,26.03.2026 17:00,Football / Europe / World Championship - Qualification - Promotion - Semi-finals,Turkey,Romania,1,0,0,69%,0,1,4,3,8%(1/13),31,0,0,0.37,0.32,1,7,0,0.00,,0,7,59%(10/17),2,89%(261/294),84%(105/125),1,5,0,5,50%(5/10),14,6,12,0.00,0.00,0,2,67%,1,3,5,6,11%(1/9),26,0,0,0.61,1.08,6,5,0,0.00,,1,3,46%(12/26),0,85%(214/251),76%(65/85),,4,5,2,6,60%(6/10),14,10,12,0.51,0.00,2,0,31%,0,2,16,1,100%(1/1),9,0,1,0.05,0.22,7,1,0,0.00,,0,3,36%(9/25),1,68%(92/136),50%(11/22),2,0,0,0,40%(2/5),13,2,3,0.00,0.00,1,0,33%,0,1,13,2,50%(2/4),24,0,0,0.12,0.25,5,6,1,-0.49,,1,5,18%(4/22),1,64%(77/121),45%(14/31),,2,3,0,2,57%(4/7),9,4,10,0.00,0.51,0
Eu6koqaB,turquia,18.11.2025 19:45,Football / Europe / World Championship - Qualification,Spain,Turkey,2,2,0,78%,2,4,0,4,33%(3/9),11,0,0,1.05,1.11,2,4,1,-0.16,,0,3,56%(9/16),1,92%(407/441),78%(119/152),8,3,5,4,67%(2/3),8,12,23,1.04,0.84,0,0,67%,3,1,7,2,15%(2/13),16,0,0,0.54,1.47,3,4,4,-0.10,,0,2,83%(5/6),2,92%(298/325),85%(104/123),,8,4,4,1,40%(2/5),8,9,18,1.24,0.90,1,0,22%,1,1,19,1,100%(1/1),11,0,1,0.07,0.62,4,2,4,0.04,,0,7,45%(10/22),1,79%(96/121),71%(12/17),2,0,2,1,80%(4/5),5,3,4,0.84,1.04,1,0,33%,0,4,20,2,33%(3/9),15,0,1,0.31,0.52,4,3,2,0.24,,0,3,50%(15/30),0,82%(134/163),77%(46/60),,5,1,5,5,57%(4/7),3,10,12,0.90,1.24,4
4vlhABM5,turquia,15.11.2025 17:00,Football / Europe / World Championship - Qualification,Turkey,Bulgaria,2,0,0,78%,2,2,6,4,17%(2/12),28,0,1,0.50,1.29,6,7,1,0.51,,0,3,67%(14/21),0,89%(303/339),81%(98/121),4,2,4,4,67%(8/12),15,8,13,1.67,0.51,2,1,55%,3,1,9,5,20%(2/10),29,0,2,1.06,1.27,5,5,1,0.29,,1,5,39%(7/18),0,82%(177/216),75%(51/68),,8,8,2,3,70%(7/10),10,11,20,0.30,0.29,1,0,22%,0,3,20,1,50%(1/2),16,0,0,0.07,0.14,7,6,3,0.67,,0,7,41%(7/17),1,64%(64/100),38%(9/24),1,0,1,3,60%(3/5),13,4,10,0.51,1.67,0,0,45%,1,2,11,5,0%(0/5),22,0,1,0.09,0.25,5,5,2,0.30,,1,7,44%(12/27),0,78%(142/183),72%(34/47),,4,2,1,1,83%(5/6),5,5,8,0.29,0.30,1
WQkpCXig,turquia,14.10.2025 18:45,Football / Europe / World Championship - Qualification,Turkey,Georgia,4,1,1,54%,4,1,9,4,71%(5/7),36,0,0,0.97,1.76,5,10,0,0.00,1,0,7,49%(17/35),1,81%(203/251),64%(48/75),8,3,5,1,60%(6/10),10,9,17,1.81,0.00,,0,37%,1,0,15,3,20%(1/5),24,0,0,0.22,0.19,9,6,2,-0.39,1,0,3,26%(6/23),1,77%(140/183),54%(22/41),,1,0,1,0,82%(9/11),3,1,4,0.34,0.61,1,0,46%,0,2,17,2,0%(0/5),17,0,1,0.06,0.07,10,5,1,-1.19,0,0,7,34%(12/35),0,77%(164/213),81%(34/42),1,0,0,1,57%(4/7),15,2,1,0.00,1.81,,0,63%,1,4,7,4,50%(6/12),21,0,0,0.83,0.99,6,9,0,-0.66,0,1,5,65%(13/20),2,89%(279/314),75%(54/72),,6,3,3,4,100%(2/2),10,10,18,0.61,0.34,1
CpcHAuYo,turquia,11.10.2025 18:45,Football / Europe / World Championship - Qualification,Bulgaria,Turkey,1,6,0,21%,0,0,23,1,67%(2/3),23,0,0,0.07,0.18,6,3,2,-0.68,,0,3,36%(9/25),3,60%(59/98),48%(14/29),2,1,1,0,55%(6/11),9,2,5,0.57,0.32,2,1,23%,1,0,10,4,13%(1/8),16,1,0,0.06,0.22,5,1,1,-1.12,0,1,5,24%(6/25),3,62%(62/100),44%(14/32),,2,1,1,0,40%(4/10),8,2,4,0.26,2.88,0,2,79%,0,2,6,5,10%(1/10),21,0,0,0.66,0.40,3,6,0,-0.43,,1,2,57%(17/30),2,87%(315/361),81%(100/124),4,2,3,3,50%(2/4),16,7,12,0.32,0.57,0,0,77%,2,2,10,3,40%(2/5),30,0,1,1.09,1.37,1,5,1,0.26,1,0,4,50%(11/22),2,88%(313/356),78%(78/100),,5,4,5,6,80%(4/5),7,11,15,2.88,0.26,1
zkoGWqpI,turquia,07.09.2025 18:45,Football / Europe / World Championship - Qualification,Turkey,Spain,0,6,0,44%,0,2,6,2,0%(0/2),17,0,0,0.21,0.12,3,5,5,-1.41,,0,9,54%(14/26),4,86%(195/226),69%(27/39),2,0,2,2,60%(3/5),10,4,13,0.37,1.59,,0,55%,0,6,6,6,7%(1/14),19,0,0,0.33,0.42,3,4,1,-1.39,,0,3,50%(11/22),1,88%(250/283),80%(74/93),,0,1,0,7,75%(6/8),11,7,12,0.00,1.61,,0,56%,6,2,9,2,0%(0/3),25,0,0,1.19,1.45,5,3,2,0.37,,0,1,50%(9/18),0,88%(258/292),77%(57/74),12,3,8,1,27%(4/15),12,13,24,1.59,0.37,,3,45%,4,3,22,2,50%(2/4),24,0,1,1.30,1.31,4,3,0,0.00,,0,6,53%(8/15),3,90%(210/233),89%(68/76),,7,1,4,1,45%(5/11),6,8,16,1.61,0.00,
63p96TLU,turquia,04.09.2025 16:00,Football / Europe / World Championship - Qualification,Georgia,Turkey,2,3,0,41%,1,1,7,3,25%(2/8),21,0,1,0.89,0.52,7,5,0,-0.86,0,0,1,37%(7/19),1,79%(119/150),66%(23/35),1,2,0,2,33%(3/9),9,3,13,0.00,1.14,2,1,68%,1,1,6,3,13%(2/15),24,1,0,0.49,0.62,6,9,0,-0.10,,1,0,70%(19/27),1,90%(232/257),87%(79/91),1,7,7,4,5,43%(3/7),15,12,22,1.19,0.90,2,1,59%,1,2,17,2,25%(1/4),24,0,1,0.49,0.33,5,7,0,0.00,1,0,2,62%(18/29),0,88%(205/234),63%(19/30),4,1,2,1,64%(7/11),11,5,7,1.14,0.00,1,0,32%,1,0,23,0,0%(0/1),22,0,0,0.41,0.40,9,6,2,-0.81,,0,2,33%(11/33),0,74%(93/126),39%(14/36),1,1,0,1,0,89%(8/9),10,1,2,0.90,1.19,2
