match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
pzOUljac,uruguay,local,24/27 (89%),Caceres S.Defender,7,-,7.3,-,-,-,36
pzOUljac,uruguay,local,15/19 (79%),Ait-Nouri R.Wingback,14,-,7.2,4/8 (50%),-,1,52
pzOUljac,uruguay,local,38/44 (86%),Bensebaini R.Centre back,12,0.02,7.2,0/1 (0%),1,1,62
pzOUljac,uruguay,local,52/61 (85%),Valverde F.Midfielder,2,0.11,7.2,2/2 (100%),3,3,70
pzOUljac,uruguay,local,36/43 (84%),Varela G.Fullback,6,-,7.2,-,-,1,58
pzOUljac,uruguay,local,16/20 (80%),Boudaoui H.Midfielder,3,-,7.1,-,-,-,29
pzOUljac,uruguay,local,32/34 (94%),Araujo M.Winger,12,-,6.9,0/1 (0%),-,-,50
pzOUljac,uruguay,local,31/37 (84%),de Arrascaeta G.Attacking midfielder,5,0.44,6.9,0/1 (0%),1,4,53
pzOUljac,uruguay,local,49/52 (94%),Olivera M.Fullback,2,-,6.9,-,-,-,59
pzOUljac,uruguay,local,3/3 (100%),Abada A.Defender,3,-,6.8,1/1 (100%),-,-,7
pzOUljac,uruguay,local,46/50 (92%),Gimenez J.Centre back,4,0.05,6.8,-,1,1,55
pzOUljac,uruguay,local,29/34 (85%),Mandi A.Centre back,3,-,6.8,-,-,1,37
pzOUljac,uruguay,local,62/68 (91%),Ugarte M.Midfielder,15,0.01,6.8,2/3 (67%),1,-,86
pzOUljac,uruguay,local,33/35 (94%),Araujo R.Centre back,4,0.17,6.7,-,1,1,41
pzOUljac,uruguay,local,39/40 (98%),Belaid Z.Centre back,4,0.04,6.7,0/1 (0%),1,1,48
pzOUljac,uruguay,local,32/36 (89%),Chaibi F.Midfielder,5,0.01,6.7,-,1,-,46
pzOUljac,uruguay,local,23/31 (74%),Zidane L.Goalkeeper,-,-,6.7,-,-,-,36
pzOUljac,uruguay,local,6/9 (67%),Mahrez R.Forward,5,-,6.6,-,-,1,15
pzOUljac,uruguay,local,21/29 (72%),Canobbio A.Winger,16,0.09,6.5,0/1 (0%),2,8,48
pzOUljac,uruguay,local,12/14 (86%),Vinas F.Striker,9,0.04,6.5,0/1 (0%),1,1,25
pzOUljac,uruguay,local,24/30 (80%),Aouar H.Attacking midfielder,5,0.29,6.4,-,1,2,41
pzOUljac,uruguay,local,13/17 (76%),Belghali R.Wingback,9,0.06,6.4,2/2 (100%),1,2,30
pzOUljac,uruguay,local,12/14 (86%),Gouiri A.Striker,9,-,6.4,0/2 (0%),-,2,23
pzOUljac,uruguay,local,14/22 (64%),Maza I.Attacking midfielder,3,0.03,6.4,0/1 (0%),1,2,30
pzOUljac,uruguay,local,1/1 (100%),Nunez D.Forward,1,-,6.4,-,-,-,7
pzOUljac,uruguay,local,5/6 (83%),Zerrouki R.Midfielder,1,-,6.4,-,-,-,7
pzOUljac,uruguay,local,20/28 (71%),Rochet S.Goalkeeper,-,-,6.2,-,-,-,28
pzOUljac,uruguay,local,7/8 (88%),Titraoui Y.Midfielder,3,-,6.2,0/1 (0%),-,-,11
pzOUljac,uruguay,local,3/4 (75%),Amoura M.Forward,3,-,5.9,-,-,-,7
pzOUljac,uruguay,local,1/3 (33%),Benbouali N.Forward,2,-,5.9,-,-,-,4
