match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__headed_goals,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__headed_goals,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards
pzOUljac,uruguay,31.03.2026 18:30,Football / World / Friendly International,Algeria,Uruguay,0,0,,0,41%,0,0,5,2,67%(2/3),19,0,0,0.14,0.02,6,9,1,0.05,,0,8,39%(7/18),1,85%(158/186),64%(29/45),1,1,0,0,60%(3/5),11,1,5,0.00,0.05,2,0,41%,1,1,5,3,40%(2/5),21,0,0,0.27,0.43,6,7,0,0.00,,0,2,31%(5/16),2,79%(122/154),61%(20/33),,3,5,0,2,67%(4/6),7,6,8,0.00,0.00,2,0,59%,1,2,4,4,33%(3/9),23,0,0,0.30,0.27,9,6,0,0.00,,0,4,55%(12/22),0,88%(231/263),65%(24/37),1,1,1,3,79%(11/14),7,4,6,0.05,0.00,1,0,59%,1,0,7,2,17%(1/6),21,0,0,0.75,0.71,7,6,0,0.00,,0,5,47%(7/15),2,87%(194/222),77%(43/56),,6,7,0,1,89%(8/9),3,7,14,0.00,0.00,2
IHvvmo8M,uruguay,27.03.2026 19:45,Football / World / Friendly International,England,Uruguay,1,1,,0,63%,0,2,3,5,50%(6/12),33,0,0,0.41,0.36,2,7,0,0.00,,0,2,73%(11/15),1,92%(266/290),86%(72/84),3,1,2,2,55%(6/11),12,5,17,0.38,0.00,,1,45%,2,3,12,2,29%(2/7),25,0,0,0.57,1.50,5,5,0,-0.16,,0,7,38%(5/13),1,84%(161/192),77%(33/43),,5,2,3,3,54%(7/13),4,8,12,1.66,0.84,1,0,37%,0,1,10,0,0%(0/2),19,0,0,0.08,0.17,7,2,2,0.38,,0,5,55%(6/11),0,89%(158/178),74%(20/27),1,2,0,2,69%(9/13),4,3,3,0.00,0.38,,0,55%,1,3,6,0,43%(3/7),18,0,0,0.80,1.11,5,5,2,0.66,,0,7,45%(13/29),1,86%(206/240),81%(43/53),,5,2,1,1,83%(5/6),6,6,9,0.84,1.66,2
rs11mfPp,uruguay,19.11.2025 00:00,Football / World / Friendly International,USA,Uruguay,5,1,,0,42%,2,2,8,5,38%(3/8),19,0,1,0.53,0.54,5,4,0,-0.70,1,0,1,69%(11/16),2,82%(144/175),65%(33/51),6,0,5,1,86%(6/7),7,7,15,2.53,0.30,,0,54%,1,1,6,2,33%(1/3),14,0,0,0.35,0.20,5,6,1,0.09,1,0,12,38%(6/16),0,87%(182/210),68%(32/47),0,1,0,2,2,60%(3/5),5,3,5,0.56,0.09,2,0,58%,1,3,8,3,33%(2/6),22,0,0,0.39,0.54,4,5,1,-1.47,0,1,4,60%(15/25),1,86%(215/250),71%(39/55),3,2,1,3,57%(4/7),6,6,8,0.30,2.53,,0,46%,0,1,6,2,20%(1/5),18,1,0,0.26,0.05,6,5,1,-0.44,0,0,3,63%(12/19),0,79%(138/175),65%(15/23),1,2,1,1,1,100%(8/8),11,3,6,0.09,0.56,2
65iOQJyf,uruguay,16.11.2025 01:00,Football / World / Friendly International,Mexico,Uruguay,0,0,,0,52%,0,0,2,0,33%(2/6),25,0,0,0.17,0.12,11,11,1,0.05,,0,2,52%(12/23),1,87%(191/220),53%(18/34),2,2,2,2,64%(7/11),12,4,6,0.17,0.05,1,0,53%,1,2,9,0,14%(1/7),27,0,0,0.13,0.37,8,8,1,0.03,,0,1,56%(9/16),1,86%(172/200),71%(24/34),,3,3,1,3,42%(5/12),8,6,5,0.02,0.03,2,0,48%,0,0,8,0,100%(1/1),26,0,0,0.09,0.03,11,11,2,0.17,,0,1,56%(15/27),0,85%(176/208),59%(20/34),0,0,1,1,75%(6/8),7,1,0,0.05,0.17,0,0,47%,0,0,7,0,0%(0/2),17,0,0,0.12,0.05,8,8,1,0.02,,0,2,67%(18/27),1,84%(150/179),60%(27/45),,2,1,1,0,50%(3/6),11,2,3,0.03,0.02,6
AFa52yJb,uruguay,13.10.2025 12:45,Football / World / Friendly International,Uzbekistan,Uruguay,1,2,,0,39%,0,1,16,1,67%(2/3),19,0,0,0.21,0.14,2,4,2,0.44,,0,4,41%(12/29),0,73%(111/153),47%(17/36),1,1,0,1,100%(3/3),16,2,7,0.00,0.44,,0,47%,2,2,10,1,33%(2/6),16,0,0,0.37,0.59,3,4,0,-0.50,,0,2,33%(9/27),3,81%(152/188),56%(27/48),,3,1,2,2,80%(4/5),11,5,9,1.51,1.50,,1,61%,1,1,13,2,13%(1/8),17,0,0,0.37,0.79,4,2,0,0.00,,0,0,36%(9/25),1,83%(197/236),61%(43/71),2,1,2,2,78%(7/9),10,4,6,0.44,0.00,,0,53%,2,4,10,4,38%(3/8),21,0,0,0.58,1.17,4,3,1,0.51,,0,6,48%(12/25),2,85%(178/209),61%(31/51),,5,3,2,4,78%(7/9),7,9,11,1.50,1.51,
nNJGVv1C,uruguay,10.10.2025 12:45,Football / World / Friendly International,Uruguay,Dominican Republic,1,0,,0,67%,0,2,6,1,25%(2/8),17,0,1,0.20,0.25,5,3,2,0.12,,0,4,54%(15/28),1,87%(270/311),74%(75/101),1,5,0,6,71%(5/7),13,7,7,0.00,0.12,,1,68%,1,2,13,2,21%(3/14),22,0,0,0.28,0.23,12,7,2,0.04,,0,4,83%(15/18),1,92%(252/273),89%(48/54),,2,1,1,2,50%(4/8),10,4,6,0.22,0.04,1,0,33%,0,0,15,0,40%(2/5),18,0,0,0.11,0.14,3,5,0,0.00,,0,6,33%(9/27),0,74%(116/156),42%(14/33),0,1,2,3,50%(3/6),10,3,5,0.12,0.00,,0,32%,0,0,10,2,0%(0/5),30,0,0,0.14,0.13,7,12,0,-0.78,,0,3,22%(5/23),0,77%(99/129),62%(24/39),,2,2,2,2,50%(5/10),4,4,8,0.04,0.22,2
xIBQRaai,uruguay,09.09.2025 23:30,Football / South America / World Championship - Qualification - Round 18,Chile,Uruguay,0,0,,0,50%,0,3,10,5,38%(3/8),21,0,0,0.28,0.16,6,7,1,0.01,,0,4,64%(7/11),0,85%(194/227),67%(35/52),2,2,1,4,71%(5/7),4,6,14,0.15,0.01,1,2,49%,3,1,4,3,25%(2/8),19,0,0,0.81,1.46,2,7,1,0.12,,0,11,41%(11/27),0,81%(175/216),69%(34/49),,8,7,2,2,71%(5/7),8,10,15,0.59,0.12,0,0,50%,0,0,13,2,29%(2/7),14,0,0,0.19,0.11,7,6,1,0.15,,0,4,50%(9/18),0,84%(196/232),59%(24/41),2,1,2,1,50%(3/6),6,3,7,0.01,0.15,0,0,51%,0,0,9,1,29%(2/7),17,0,0,0.27,0.11,7,2,2,0.59,,1,3,63%(12/19),0,85%(188/221),78%(39/50),,1,2,1,2,67%(4/6),10,3,7,0.12,0.59,1
6ZKpRS8t,uruguay,04.09.2025 23:30,Football / South America / World Championship - Qualification - Round 17,Uruguay,Peru,3,0,,0,66%,0,4,3,3,55%(6/11),27,0,0,1.11,0.96,4,7,2,0.09,1,0,3,78%(14/18),0,89%(262/296),81%(69/85),8,6,2,4,100%(4/4),13,12,19,0.81,0.09,0,0,61%,2,2,5,3,33%(3/9),22,0,0,1.16,1.53,4,7,1,0.04,,0,4,72%(21/29),0,88%(285/323),78%(65/83),,10,5,5,2,100%(8/8),7,12,22,2.71,0.04,2,0,34%,0,0,20,1,100%(2/2),18,0,2,0.20,0.26,7,4,1,-0.19,0,0,6,62%(13/21),0,76%(121/159),48%(16/33),1,5,2,6,67%(4/6),7,7,5,0.09,0.81,2,1,39%,0,1,14,0,33%(1/3),19,0,0,0.48,0.19,7,4,3,0.71,,0,3,63%(22/35),0,85%(180/213),58%(19/33),,3,2,1,1,38%(3/8),11,4,7,0.04,2.71,1
thmO9Rw6,uruguay,10.06.2025 23:00,Football / South America / World Championship - Qualification - Round 16,Uruguay,Venezuela,2,0,,0,71%,1,1,11,8,26%(7/27),33,0,0,0.89,0.68,7,4,0,0.00,1,0,3,58%(14/24),0,88%(249/284),79%(92/117),4,3,1,1,73%(8/11),8,5,18,0.66,0.00,2,0,47%,0,1,8,2,25%(1/4),22,0,0,0.23,0.48,8,6,1,0.14,,0,5,41%(15/37),0,76%(152/201),55%(23/42),,3,2,4,4,50%(5/10),6,7,9,0.83,0.14,0,0,29%,0,3,27,0,0%(0/2),30,0,0,0.07,0.21,4,7,0,-0.34,0,0,7,48%(12/25),2,76%(97/127),70%(14/20),0,2,0,5,38%(3/8),7,5,3,0.00,0.66,2,0,53%,0,3,11,1,15%(2/13),32,1,0,0.22,0.28,6,8,3,-0.17,,0,3,43%(9/21),2,80%(173/216),58%(31/53),,3,1,1,2,45%(5/11),11,5,8,0.14,0.83,1
SSXICTgm,uruguay,05.06.2025 23:00,Football / South America / World Championship - Qualification - Round 15,Paraguay,Uruguay,2,0,,0,29%,1,0,14,2,25%(1/4),28,0,0,0.10,0.40,9,4,0,0.00,1,0,3,32%(10/31),2,51%(45/88),49%(24/49),1,0,4,3,67%(4/6),13,4,5,0.98,0.00,1,0,29%,1,4,11,3,38%(3/8),27,0,0,0.24,1.06,9,6,1,0.28,,1,6,22%(6/27),0,53%(42/79),51%(18/35),,5,3,1,3,58%(7/12),7,8,15,0.76,0.28,1,0,71%,0,0,21,4,9%(1/11),29,0,0,0.15,0.04,4,9,3,-0.02,0,0,4,70%(19/27),0,82%(173/212),70%(42/60),0,1,0,1,60%(3/5),8,1,3,0.00,0.98,0,0,71%,0,1,15,3,9%(1/11),39,0,0,0.18,0.21,6,9,0,-0.24,,0,2,52%(15/29),0,82%(165/201),68%(25/37),,4,2,1,0,70%(7/10),10,4,6,0.28,0.76,0
