match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
Eo8XRPwQ,uzbekistan,local,23/29 (79%),Gakpo C.Winger,5,1.71,9.1,1/1 (100%),3,5,42
Eo8XRPwQ,uzbekistan,local,64/66 (97%),de Jong F.Midfielder,6,-,7.7,-,-,-,75
Eo8XRPwQ,uzbekistan,local,83/89 (93%),van Hecke J. P.Centre back,4,-,7.7,-,-,1,95
Eo8XRPwQ,uzbekistan,local,25/29 (86%),Dumfries D.Fullback,5,-,7.4,1/1 (100%),-,2,45
Eo8XRPwQ,uzbekistan,local,64/70 (91%),Gravenberch R.Midfielder,9,0.03,7.4,0/1 (0%),1,-,89
Eo8XRPwQ,uzbekistan,local,80/87 (92%),van Dijk V.Centre back,6,0.02,7.4,-,1,1,98
Eo8XRPwQ,uzbekistan,local,1/1 (100%),Sergeev I.Forward,2,0.58,7.3,-,1,1,5
Eo8XRPwQ,uzbekistan,local,52/58 (90%),van de Ven M.Fullback,2,-,7.1,-,-,-,73
Eo8XRPwQ,uzbekistan,local,15/19 (79%),Summerville C.Winger,9,0.70,6.9,-,4,4,35
Eo8XRPwQ,uzbekistan,local,29/32 (91%),Verbruggen B.Goalkeeper,1,-,6.7,-,-,-,35
Eo8XRPwQ,uzbekistan,local,7/7 (100%),Brobbey B.Forward,1,0.61,6.6,-,1,1,9
Eo8XRPwQ,uzbekistan,local,7/8 (88%),Malen D.Striker,6,0.86,6.6,1/4 (25%),1,4,19
Eo8XRPwQ,uzbekistan,local,6/11 (55%),Flekken M.Goalkeeper,-,-,6.5,-,-,-,14
Eo8XRPwQ,uzbekistan,local,8/11 (73%),Iskanderov J.Midfielder,-,-,6.5,-,-,-,11
Eo8XRPwQ,uzbekistan,local,34/38 (89%),Reijnders T.Midfielder,3,0.68,6.5,-,4,3,56
Eo8XRPwQ,uzbekistan,local,17/30 (57%),Yusupov U.Goalkeeper,-,-,6.4,-,-,-,34
Eo8XRPwQ,uzbekistan,local,4/6 (67%),Khamdamov D.Forward,3,0.09,6.3,-,1,2,14
Eo8XRPwQ,uzbekistan,local,40/51 (78%),Shukurov O.Midfielder,6,0.24,6.2,1/1 (100%),3,-,60
Eo8XRPwQ,uzbekistan,local,26/29 (90%),Khusanov A.Centre back,6,-,6.1,-,-,-,39
Eo8XRPwQ,uzbekistan,local,31/34 (91%),Mozgovoy A.Midfielder,3,-,6.0,-,-,1,43
Eo8XRPwQ,uzbekistan,local,13/17 (76%),Shomurodov E.Striker,6,0.01,5.9,0/1 (0%),1,1,22
Eo8XRPwQ,uzbekistan,local,4/4 (100%),Urunov O.Attacking midfielder,9,-,5.9,0/4 (0%),-,2,19
Eo8XRPwQ,uzbekistan,local,6/11 (55%),Fayzullaev A.Attacking midfielder,7,0.02,5.8,1/2 (50%),1,-,24
Eo8XRPwQ,uzbekistan,local,16/24 (67%),Nasrullaev S.Wingback,1,-,5.8,-,-,-,34
Eo8XRPwQ,uzbekistan,local,23/29 (79%),Urozov J.Centre back,7,-,5.8,1/1 (100%),-,-,53
