match_id,seleccion,fecha,competicion,equipo_local,equipo_visitante,goles_local,goles_visitante,error,local__1st_half__accurate_through_passes,local__1st_half__ball_possession,local__1st_half__big_chances,local__1st_half__blocked_shots,local__1st_half__clearances,local__1st_half__corner_kicks,local__1st_half__crosses,local__1st_half__duels_won,local__1st_half__errors_leading_to_goal,local__1st_half__errors_leading_to_shot,local__1st_half__expected_assists_xa,local__1st_half__expected_goals_xg,local__1st_half__fouls,local__1st_half__free_kicks,local__1st_half__goalkeeper_saves,local__1st_half__goals_prevented,local__1st_half__hit_the_woodwork,local__1st_half__interceptions,local__1st_half__long_passes,local__1st_half__offsides,local__1st_half__passes,local__1st_half__passes_in_final_third,local__1st_half__red_cards,local__1st_half__shots_inside_the_box,local__1st_half__shots_off_target,local__1st_half__shots_on_target,local__1st_half__shots_outside_the_box,local__1st_half__tackles,local__1st_half__throw_ins,local__1st_half__total_shots,local__1st_half__touches_in_opposition_box,local__1st_half__xg_on_target_xgot,local__1st_half__xgot_faced,local__1st_half__yellow_cards,local__2nd_half__accurate_through_passes,local__2nd_half__ball_possession,local__2nd_half__big_chances,local__2nd_half__blocked_shots,local__2nd_half__clearances,local__2nd_half__corner_kicks,local__2nd_half__crosses,local__2nd_half__duels_won,local__2nd_half__errors_leading_to_goal,local__2nd_half__errors_leading_to_shot,local__2nd_half__expected_assists_xa,local__2nd_half__expected_goals_xg,local__2nd_half__fouls,local__2nd_half__free_kicks,local__2nd_half__goalkeeper_saves,local__2nd_half__goals_prevented,local__2nd_half__headed_goals,local__2nd_half__hit_the_woodwork,local__2nd_half__interceptions,local__2nd_half__long_passes,local__2nd_half__offsides,local__2nd_half__passes,local__2nd_half__passes_in_final_third,local__2nd_half__red_cards,local__2nd_half__shots_inside_the_box,local__2nd_half__shots_off_target,local__2nd_half__shots_on_target,local__2nd_half__shots_outside_the_box,local__2nd_half__tackles,local__2nd_half__throw_ins,local__2nd_half__total_shots,local__2nd_half__touches_in_opposition_box,local__2nd_half__xg_on_target_xgot,local__2nd_half__xgot_faced,local__2nd_half__yellow_cards,local__ball_possession,local__corner_kicks,local__shots_off_target,local__shots_on_target,local__total_shots,local__yellow_cards,visitante__1st_half__accurate_through_passes,visitante__1st_half__ball_possession,visitante__1st_half__big_chances,visitante__1st_half__blocked_shots,visitante__1st_half__clearances,visitante__1st_half__corner_kicks,visitante__1st_half__crosses,visitante__1st_half__duels_won,visitante__1st_half__errors_leading_to_goal,visitante__1st_half__errors_leading_to_shot,visitante__1st_half__expected_assists_xa,visitante__1st_half__expected_goals_xg,visitante__1st_half__fouls,visitante__1st_half__free_kicks,visitante__1st_half__goalkeeper_saves,visitante__1st_half__goals_prevented,visitante__1st_half__hit_the_woodwork,visitante__1st_half__interceptions,visitante__1st_half__long_passes,visitante__1st_half__offsides,visitante__1st_half__passes,visitante__1st_half__passes_in_final_third,visitante__1st_half__red_cards,visitante__1st_half__shots_inside_the_box,visitante__1st_half__shots_off_target,visitante__1st_half__shots_on_target,visitante__1st_half__shots_outside_the_box,visitante__1st_half__tackles,visitante__1st_half__throw_ins,visitante__1st_half__total_shots,visitante__1st_half__touches_in_opposition_box,visitante__1st_half__xg_on_target_xgot,visitante__1st_half__xgot_faced,visitante__1st_half__yellow_cards,visitante__2nd_half__accurate_through_passes,visitante__2nd_half__ball_possession,visitante__2nd_half__big_chances,visitante__2nd_half__blocked_shots,visitante__2nd_half__clearances,visitante__2nd_half__corner_kicks,visitante__2nd_half__crosses,visitante__2nd_half__duels_won,visitante__2nd_half__errors_leading_to_goal,visitante__2nd_half__errors_leading_to_shot,visitante__2nd_half__expected_assists_xa,visitante__2nd_half__expected_goals_xg,visitante__2nd_half__fouls,visitante__2nd_half__free_kicks,visitante__2nd_half__goalkeeper_saves,visitante__2nd_half__goals_prevented,visitante__2nd_half__headed_goals,visitante__2nd_half__hit_the_woodwork,visitante__2nd_half__interceptions,visitante__2nd_half__long_passes,visitante__2nd_half__offsides,visitante__2nd_half__passes,visitante__2nd_half__passes_in_final_third,visitante__2nd_half__red_cards,visitante__2nd_half__shots_inside_the_box,visitante__2nd_half__shots_off_target,visitante__2nd_half__shots_on_target,visitante__2nd_half__shots_outside_the_box,visitante__2nd_half__tackles,visitante__2nd_half__throw_ins,visitante__2nd_half__total_shots,visitante__2nd_half__touches_in_opposition_box,visitante__2nd_half__xg_on_target_xgot,visitante__2nd_half__xgot_faced,visitante__2nd_half__yellow_cards,visitante__ball_possession,visitante__corner_kicks,visitante__shots_off_target,visitante__shots_on_target,visitante__total_shots,visitante__yellow_cards
Eo8XRPwQ,uzbekistan,08.06.2026 18:45,Football / World / Friendly International,Netherlands,Uzbekistan,2,1,,0,69%,3,1,6,0,33%(1/3),19,0,0,1.58,2.16,7,8,0,0.00,0,4,70%(14/20),0,91%(291/319),75%(56/75),,3,4,1,3,63%(5/8),8,6,11,0.69,0.00,,0,60%,5,2,8,3,44%(4/9),16,0,0,1.26,2.46,6,6,0,-0.06,,0,3,53%(10/19),2,89%(202/228),72%(38/53),1,8,4,3,1,100%(4/4),4,9,10,0.92,0.94,1,,,,,,,1,31%,0,3,8,3,0%(0/6),16,0,0,0.24,0.15,8,7,0,-0.31,0,5,28%(7/25),1,76%(105/138),44%(12/27),,0,2,0,5,100%(4/4),10,5,3,0.00,0.69,,0,40%,1,1,6,0,0%(0/6),6,0,0,0.07,0.83,6,6,1,-0.08,,0,7,35%(9/26),1,79%(119/150),66%(19/29),0,2,1,1,1,100%(2/2),11,3,4,0.94,0.92,1,,,,,,
0S4Q383T,uzbekistan,02.06.2026 01:00,Football / World / Friendly International,Canada,Uzbekistan,2,0,,0,52%,0,1,8,2,11%(1/9),35,0,1,0.19,0.13,4,11,1,0.58,0,6,43%(6/14),1,81%(190/234),67%(49/73),,1,1,1,2,30%(3/10),14,3,9,0.09,0.58,2,1,51%,2,2,8,5,0%(0/8),23,0,0,0.58,0.70,5,4,1,0.25,,0,11,47%(7/15),2,83%(194/235),73%(43/59),,5,2,3,2,64%(7/11),12,7,17,1.24,0.25,,,,,,,,0,48%,1,0,12,1,20%(1/5),22,0,0,0.07,0.81,11,4,1,0.09,0,11,33%(8/24),3,80%(173/217),56%(24/43),,0,1,1,2,67%(6/9),12,2,4,0.58,0.09,2,0,49%,0,1,11,2,33%(1/3),22,1,0,0.08,0.18,4,5,1,-0.76,,0,13,52%(11/21),0,77%(174/226),58%(26/45),,1,2,1,3,54%(7/13),15,4,11,0.25,1.24,,,,,,,
bPjJjb1Q,uzbekistan,30.03.2026 14:00,Football / World / FIFA Series - Group Stage,Uzbekistan,Venezuela,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58%,9,2,5,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42%,0,3,0,3,1
KbRpfX7I,uzbekistan,27.03.2026 14:00,Football / World / FIFA Series - Group Stage,Uzbekistan,Gabon,3,1,,,60%,,,,6,,,,,,,,,,,,,,,,,,,3,2,,,,5,,,,,,54%,,,,8,,,,,,,,,,,,,,,,,,,,4,6,,,,10,,,,0,,,,,,,,40%,,,,2,,,,,,,,,,,,,,,,,,,5,3,,,,8,,,,,,46%,,,,4,,,,,,,,,,,,,,,,,,,,1,2,,,,3,,,,1,,,,,,
CrQmdiW7,uzbekistan,30.01.2026 13:00,Football / World / Friendly International,Uzbekistan,Urartu,4,2,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4IMubD1e,uzbekistan,26.01.2026 12:30,Football / World / Friendly International,Uzbekistan,China,2,2,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GQTQKy7s,uzbekistan,18.11.2025 16:00,Football / World / Friendly International,Uzbekistan,Iran,0,0,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fcOI9pqH,uzbekistan,14.11.2025 16:00,Football / World / Friendly International,Uzbekistan,Egypt,2,0,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFa52yJb,uzbekistan,13.10.2025 12:45,Football / World / Friendly International,Uzbekistan,Uruguay,1,2,,0,39%,0,1,16,1,67%(2/3),19,0,0,0.21,0.14,2,4,2,0.44,0,4,41%(12/29),0,73%(111/153),47%(17/36),,1,1,0,1,100%(3/3),16,2,7,0.00,0.44,,0,47%,2,2,10,1,33%(2/6),16,0,0,0.37,0.59,3,4,0,-0.50,,0,2,33%(9/27),3,81%(152/188),56%(27/48),,3,1,2,2,80%(4/5),11,5,9,1.51,1.50,,,,,,,,1,61%,1,1,13,2,13%(1/8),17,0,0,0.37,0.79,4,2,0,0.00,0,0,36%(9/25),1,83%(197/236),61%(43/71),,2,1,2,2,78%(7/9),10,4,6,0.44,0.00,,0,53%,2,4,10,4,38%(3/8),21,0,0,0.58,1.17,4,3,1,0.51,,0,6,48%(12/25),2,85%(178/209),61%(31/51),,5,3,2,4,78%(7/9),7,9,11,1.50,1.51,,,,,,,
jo3sncyi,uzbekistan,09.10.2025 13:00,Football / World / Friendly International,Uzbekistan,Kuwait,2,0,no_slug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
